Cell_Name,K3_Strict_Signature,Signature_Rank,Display_Group,Group_Size,Panel_Order,Panel_Letter,Source_Feature_Column,Reader_Facing_Feature_Label,Original_Scale_Feature_Value
Mov. 1 - Cell 10,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0237400451152134
Mov. 1 - Cell 12,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0279972595410457
Mov. 1 - Cell 15,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0296339006359202
Mov. 1 - Cell 17,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0226341592504406
Mov. 1 - Cell 20,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0233541802335424
Mov. 1 - Cell 21,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0261358811309607
Mov. 1 - Cell 23,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0261854842407328
Mov. 1 - Cell 25,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0271546343719798
Mov. 1 - Cell 26,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0229024675960058
Mov. 1 - Cell 7,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0226341592504406
Mov. 2 - R,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0272731334272922
Mov. 2 - S,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0245585639380311
Mov. 2 - T,K3-DW2a-DK0-PK1-NH2-NK3,1,A,16,1,a,a_std,Standard deviation,0.0254693402129286
