,a_mean,a_std,a_range,a_median,a_skew,a_kurtosis,b_dominant_freq,b_total_power,b_band_power_low,b_band_power_mid,b_band_power_high,b_spectral_entropy,b_spectral_flatness,c_avg_time_between_peaks,c_std_time_between_peaks,c_avg_time_between_troughs,c_std_time_between_troughs,c_mean_peak_to_trough_time,c_mean_trough_to_peak_time,c_oscillation_rate,d_slope_magnitude,d_poly_mag_c0,d_poly_mag_c1,d_poly_mag_c2,d_poly_mag_c3,d_poly_peak_c0,d_poly_peak_c1,d_poly_peak_c2,d_poly_peak_c3,d_poly_trough_c0,d_poly_trough_c1,d_poly_trough_c2,d_poly_trough_c3,d_mean_magnitude,d_std_magnitude,d_initial_magnitude,d_final_magnitude,d_mean_peak_to_trough_magnitude,d_mean_trough_to_peak_magnitude,d_initial_peak_to_trough_magnitude,d_final_peak_to_trough_magnitude,d_initial_trough_to_peak_magnitude,d_final_trough_to_peak_magnitude,e_autocorr_lag1,e_autocorr_lagk,e_hurst_exponent,f_early_mean,f_late_mean,f_early_std,f_late_std,f_early_autocorr,f_late_autocorr,f_delta_mean,g_asymmetry_index,g_sharpness_index
Mov. 1 - Cell 10,0.5876757168297221,0.023740045115213465,0.12193178093285428,0.5884789003365748,0.09105243531164739,1.2335993978344568,1.0263157894736843,0.0005635897420723709,6.914141850210133e-34,1.1024919143361603e-07,0.00011094947281147286,0.8120796695523099,0.23771154770883302,2.909090909090909,0.899954085146515,2.9166666666666665,0.6400954789890507,1.5,1.4166666666666667,0.6578947368421053,0.0004419984253576415,0.13499086221989376,-0.022241543945347598,0.0012590914580404228,-1.9853077713669604e-05,0.6697341413930163,-0.013951508191496475,0.0007730578161559094,-1.2112052571706552e-05,0.5316357808332048,0.009462289290647631,-0.0005726716699709186,9.395495712897355e-06,0.04290213121204787,0.02893735589604445,0.06322222007979816,0.049677100986014966,0.041490898625492156,0.044313363798603594,0.04741755773654329,0.04854732936127911,0.05644930346222873,0.05080544432803943,-0.26724655589646273,0.2992873324241859,0.29854090579503384,0.5837360019367513,0.5874618916319058,0.028254228275435705,0.022328762838494484,-0.43246373959364315,-0.3161368383199418,0.0037258896951544163,0.9444444444444445,0.10668843369518877
Mov. 1 - Cell 10.1,0.5925269301380078,0.0318826441315769,0.1662676264506755,0.5862063450673021,0.7374945510235118,1.382178181331807,0.6315789473684211,0.0010165029968207742,1.4425802131919906e-33,4.2746359667136625e-06,0.00024061601200808658,0.8689776773874622,0.2690137328310751,3.090909090909091,1.5640591394622958,3.2,1.5362291495737217,1.7272727272727273,1.3636363636363635,0.6052631578947368,-0.002083272955739865,0.17178544500628742,-0.01827387349869614,0.0008532947712741765,-1.2896919831069365e-05,0.6726432300280331,-0.009249722054832047,0.0004647799393728003,-7.226293831403044e-06,0.5067168251335801,0.008350917918320166,-0.00036443663579258724,5.39463208274149e-06,0.052435180899566176,0.03988417947795341,0.1092647047899018,0.02878989461416015,0.054565976448192284,0.05030438535094008,0.09253412960147663,0.049112929315002773,0.07700233041590136,0.01919397721746252,-0.10439762458042849,0.08187070993249408,0.3732192870449594,0.5940201466505436,0.5923729703209994,0.03787856326823111,0.039961247242405476,-0.22430184550516805,0.14824296247032953,-0.0016471763295441422,0.7894736842105262,0.123388272227829
Mov. 1 - Cell 11,0.5891909744409936,0.025852387193979514,0.1270157532441657,0.5867842428994711,0.9519413954572588,1.490865366431108,0.7894736842105264,0.0006683459236274359,8.740841055080463e-33,2.991022268166784e-06,0.00013019921560397484,0.8533555904070527,0.27922818737651794,2.727272727272727,0.8624393618641035,2.75,0.82915619758885,1.4166666666666667,1.3333333333333333,0.6578947368421053,-0.000607506258656927,0.03337961093908335,0.0032828813025472035,-0.00024045729990674066,4.210544363177373e-06,0.5852970548831821,0.004556007809790752,-0.0002354195121424813,3.5149186954078906e-06,0.546611840298515,0.002132712708714029,-3.556494968646619e-05,-1.0398134272468578e-07,0.03711678282175818,0.021280482063974183,0.0423371561320105,0.03499935370207308,0.03598772533837804,0.038245840305138334,0.04064392697761813,0.03330541040632503,0.05419190263682416,0.031048009580920466,-0.18738756725915726,0.17616928225587353,0.481074807557545,0.5889860121132656,0.5905101325946256,0.03550806067773417,0.02069646347384574,-0.10597992913841896,-0.2494959238276056,0.0015241204813599696,0.9411764705882352,0.12701575324416559
Mov. 1 - Cell 11.1,0.593495354232286,0.04535962873553526,0.26587911157958793,0.5860867148522242,1.112810864945443,3.3865641431073126,1.2631578947368423,0.002057495919025596,5.33498599553251e-35,1.9472005460576973e-05,0.0001842276490462654,0.831288541280229,0.27694599093059097,2.9166666666666665,1.440968038815882,3.0,1.4770978917519928,1.5,1.4166666666666667,0.6578947368421053,0.00011760389391161322,0.1347668547645817,-0.0020971909343188173,-0.0004468869978967695,1.4376608142958884e-05,0.6436722077850848,0.0045473602004438025,-0.000620182946352854,1.4547245997042008e-05,0.5200401740385301,0.001734582340187895,0.00020548922495230008,-7.377740947927046e-06,0.07012371027020838,0.05407243696170521,0.11926372502354281,0.12475549585333827,0.06567791933440409,0.07456950120601269,0.10004315137646198,0.08128928223794761,0.08287318363378342,0.1337879557203794,-0.3992986653822615,0.19806057482306935,0.4522668429399094,0.5946286102803993,0.5923729703209994,0.04102807168078926,0.07126043688883074,-0.24481950802549807,-0.41175685176301474,-0.0022556399593998133,0.9444444444444445,0.26587911157958793
Mov. 1 - Cell 12,0.589701034243316,0.027997259541045743,0.16935005281075327,0.5935585877997519,-0.41239917835693035,2.6072951293101205,1.5,0.0007838465418086769,5.252320058211609e-33,4.604827109267257e-06,3.774870254271685e-05,0.7216725166365915,0.16431817160222112,2.4615384615384617,0.7457969011409737,2.4615384615384617,0.6343239424027171,1.3846153846153846,1.0714285714285714,0.7777777777777778,-0.001413663015244232,0.133130891123398,-0.015053515190964456,0.0007120043466554105,-1.080494980268431e-05,0.6400264805189786,-0.004723654472026279,0.00019596680722409014,-2.579509380024916e-06,0.48781890445550513,0.014131369378782071,-0.0007293254959427082,1.1782480018096045e-05,0.03876279929763403,0.028394909234406535,0.07677162402171561,0.015807518908677747,0.03621537162899872,0.04112826784708111,0.050241986798382876,0.0304838379099082,0.06604736328299353,0.02935478042652806,-0.6726693534998616,0.30721807556759034,0.41507557670698725,0.5871231743868918,0.5915262843296676,0.04434135446634248,0.017283867164403333,-0.6384574711612335,-0.6866859421156626,0.004403109942775818,0.7738095238095238,0.16935005281075327
Mov. 1 - Cell 12.1,0.5954442192351821,0.04849057287040191,0.29217894250936777,0.5894398516209398,0.8632147384701507,3.170679631147559,1.0263157894736843,0.002351335657299758,1.7946892888971363e-33,1.5633074365649517e-05,0.0002407142526207331,0.8655509688732924,0.3157327415492504,3.090909090909091,1.4431370787625042,3.090909090909091,1.443137078762504,1.5,1.5454545454545454,0.631578947368421,0.0007753561888170664,0.18936873546539776,-0.016563192555054864,0.0005290012646409112,-2.806941599915142e-06,0.688903618317871,-0.011262467320114555,0.0005403586056657521,-7.05950898668586e-06,0.5028053996214847,0.00568388289862501,-5.1970121229280994e-05,-2.653901272788912e-06,0.08554938775656006,0.06362285463735914,0.12926274525718442,0.16201153623946016,0.08765177036193311,0.08325587945978946,0.10755217315144953,0.10443317529385134,0.08874403685166761,0.0987878878769506,-0.3647869251444894,0.1458866742527353,0.3530343034730299,0.595237073910255,0.5854295881618216,0.04419456775984761,0.05320823706391174,-0.262464359418862,-0.6859393666031642,-0.009807485748433487,1.0303030303030303,0.19528373357934792
Mov. 1 - Cell 13.1,0.5955658784067155,0.03751397495992246,0.157707432309931,0.5896835332246224,0.14269470581924784,-0.2628477566932448,1.0263157894736843,0.0014072983172936891,2.4890910660756476e-32,2.3459956610719637e-05,0.0001953862059761888,0.7560125912866371,0.25520811122168985,3.1818181818181817,1.4024771473219555,3.3,1.4866068747318506,1.5454545454545454,1.6363636363636365,0.6052631578947368,-0.0013971544157913346,0.22134030575404162,-0.023362415698792608,0.0009805977792225293,-1.2324822288427554e-05,0.6888324311661573,-0.008666782738335304,0.0003134388618482357,-3.2429197946983303e-06,0.47287285492154985,0.013968181659717548,-0.0006403218093595442,8.807872439415198e-06,0.07202954255398555,0.04084904522991211,0.1392617654908277,0.06717570662501797,0.07369421085101356,0.07036487425695757,0.11506119492643647,0.09031888553956595,0.09461489006955122,0.07789996736374005,-0.33125434524199965,0.2933305147945128,0.4299756814784434,0.5958455375401106,0.5962681115174575,0.04737464528809421,0.04038302310902074,-0.27776934530262004,-0.5873479324358813,0.00042257397734690727,1.0588235294117647,0.1570733803170692
Mov. 1 - Cell 14.1,0.5920776657842881,0.03623397072312946,0.16830174968014922,0.5882650055646701,0.37359939601469294,0.4011238529813821,1.342105263157895,0.001312900634364603,7.682379833566814e-35,5.094532632241597e-06,0.00019268469732558658,0.8276420089874091,0.2778343867278807,2.9166666666666665,1.440968038815882,3.0,1.5954480704349312,1.5,1.4166666666666667,0.6578947368421053,-0.002864998674925469,0.21991922361416452,-0.02016988599464189,0.0007587246978011697,-9.445301227556083e-06,0.6999646749109038,-0.010978235433702284,0.00048011267535420934,-6.946991725016845e-06,0.4857734682235336,0.008623678208282425,-0.0002648063179592745,2.4720309410419113e-06,0.06074959720143617,0.043848162379240566,0.1492607857244687,0.04064392697761813,0.06413244336204113,0.05736675104083122,0.12257021670142187,0.039515583635593675,0.10048574328743332,0.035563525373085304,-0.3184266577600935,0.19629262824334404,0.36559224153812503,0.5964540011699664,0.5923729703209994,0.05056574192002818,0.03461621038011307,-0.29115069706974106,-0.06473723222487714,-0.004081030848966938,0.9444444444444445,0.16830174968014922
Mov. 1 - Cell 15,0.5891909744409936,0.02963390063592029,0.1320954407073427,0.5850906566744009,0.7549251619028989,0.36600409083728946,1.4210526315789476,0.0008781680668995971,9.86759009733693e-33,4.835373583965927e-06,0.00011308374514431343,0.8560853696279228,0.28064241351760466,2.727272727272727,0.7496555682941202,2.75,0.82915619758885,1.3333333333333333,1.4166666666666667,0.6578947368421053,-0.0007738151356173471,0.05553434094622863,0.0045628145592886945,-0.00045376254789675306,9.381044302675181e-06,0.6244541956593994,0.0005237177131680374,-0.00010589306059704812,2.407618223104013e-06,0.5559701197931368,-0.0016548603791876702,0.00021950418115700607,-4.874513061706694e-06,0.04904222932078728,0.025981174843962306,0.061529705066761475,0.05645073174494012,0.04854822203797374,0.049536236603600826,0.06773987829603012,0.05645144588629584,0.07620745235070336,0.049113643456358456,-0.2532278941362705,0.19665299470826517,0.44354551007201976,0.5903408810933218,0.5905101325946255,0.03789445721151362,0.027959065437967664,-0.13117931772956182,-0.2992612337827277,0.00016925150130364663,1.0625000000000002,0.12701575324416559
Mov. 1 - Cell 15.1,0.5934917704641111,0.03818206257283038,0.17953011904322885,0.5883574052914522,0.22403952716596306,0.1369291178844776,1.0263157894736843,0.0014578699023155347,7.940593155750587e-33,8.356668306438519e-06,0.00016632720834522624,0.7415609007232685,0.2233422409637531,3.1818181818181817,1.4658650451451907,3.3,1.4866068747318506,1.7272727272727273,1.4545454545454546,0.6052631578947368,-0.002337540194892463,0.23225959591374587,-0.02025236596819495,0.0006599237558564723,-5.94053419793355e-06,0.7024947816477807,-0.00960802877811093,0.00033143878538630903,-3.3899585019951433e-06,0.4777166376232733,0.00930349061594709,-0.0002592675543893283,1.506640013268329e-06,0.07267909645755234,0.04398314268446441,0.15925980595811143,0.06830547824975386,0.0750081083527978,0.07035008456230692,0.13007923847640995,0.07581324632235058,0.10635659650531813,0.06604736328299354,-0.3484753440005265,0.31348420936197213,0.36845274271152184,0.5970624647998221,0.5872924258881955,0.05376589568425575,0.03167417116257777,-0.30293599025153983,-0.3707333330380386,-0.009770038911626533,0.8421052631578948,0.17953011904322885
