,a_mean,a_std,a_median,a_skew,a_kurtosis,b_dominant_freq,b_band_power_low,b_band_power_mid,b_band_power_high,b_spectral_entropy,b_spectral_flatness,c_avg_time_between_peaks,c_std_time_between_peaks,c_std_time_between_troughs,c_mean_peak_to_trough_time,c_mean_trough_to_peak_time,d_slope_magnitude,d_poly_mag_c0,d_poly_mag_c1,d_poly_mag_c2,d_poly_mag_c3,d_poly_peak_c0,d_poly_peak_c1,d_poly_peak_c2,d_poly_peak_c3,d_poly_trough_c0,d_poly_trough_c1,d_poly_trough_c2,d_poly_trough_c3,d_initial_magnitude,d_final_magnitude,d_initial_peak_to_trough_magnitude,d_final_peak_to_trough_magnitude,e_autocorr_lag1,e_autocorr_lagk,e_hurst_exponent,f_early_mean,f_late_mean,f_early_std,f_late_std,f_early_autocorr,f_late_autocorr,f_delta_mean,g_asymmetry_index,g_sharpness_index
Mov. 1 - Cell 10,0.6611892030627047,0.0699151688224994,0.671039272225153,0.6356543359649302,0.210304765084743,0.4821052631578947,6.860643796199376e-34,0.0,0.0416552054374027,0.5700122876873506,0.5025302771733576,0.4893617021276597,0.3994006693594782,0.2207489429703399,0.5,0.4166666666666667,0.8925691270521725,0.258976308580477,0.2722713778415621,0.760754135168159,0.2943891714536504,0.4576273421767989,0.1759528111826762,0.8570373669883065,0.2066824473783564,0.7377188920763176,0.6446292460903529,0.197204385744588,0.8028491902950031,0.0695583015257844,0.24596910266243,0.0248504649146019,0.1802617268357716,0.5262602949611082,0.543980656719484,0.1091228016617376,0.6913364877392372,0.705100470332459,0.0696745462895041,0.0742084626889705,0.3236470084232992,0.371439940741586,0.4959445543817419,0.2342704149933068,0.0785520431176177
Mov. 1 - Cell 10.1,0.869504765558375,0.1503628320828584,0.6279600304576594,0.7988480806225299,0.2235757668737696,0.0505263157894737,1.437230407790915e-33,0.0042506096379228,0.1014551190898361,0.8078696130486631,0.630996689987264,0.6028368794326242,0.8653662607511968,0.8797974631288158,0.7272727272727273,0.3636363636363635,0.6554554054043127,0.3144292303161735,0.3067696986711616,0.7005948431268634,0.3547805136830648,0.4668167586696818,0.2586145510443951,0.7511531929892346,0.3096954303586406,0.6796324843551564,0.6282788926658106,0.2590462825556469,0.7389229537081645,0.1746332357930559,0.1177867864577627,0.1903699368343479,0.1830403817142056,0.7291588228461251,0.0723257556050245,0.4273286246620174,0.7965372616006459,0.7667791374726889,0.1327528552183909,0.175690428184102,0.5191320858151616,0.7231079654950145,0.4570504632240971,0.0643627140139505,0.1083476676477721
Mov. 1 - Cell 11,0.7262557589032284,0.0907847933615144,0.6389148357226961,0.8529849982560767,0.2332836659017814,0.2231578947368422,8.735491249679386e-33,0.0029404189537143,0.0505328462224144,0.742562795339198,0.6729175440483864,0.375886524822695,0.3730786739062204,0.3597909083637415,0.4166666666666667,0.3333333333333332,0.794024486117224,0.1058385274714434,0.4942025646759301,0.5384462785456854,0.5033025487300924,0.1909020365107638,0.5013320242555898,0.5106557517457926,0.5361667733016314,0.7726282802001327,0.5367974532703811,0.3567150007735251,0.6510655071092599,0.0218958711574254,0.1558935027939081,0.0,0.1053818896256535,0.6257590825917777,0.276893296461372,0.8869027891711754,0.7450410153125286,0.7433835954064554,0.1172164784368236,0.0648139301882489,0.6302483354024966,0.4219061296830517,0.4800065755600092,0.2306874557051736,0.114819769886472
Mov. 1 - Cell 11.1,0.9110897871012078,0.2835134289629804,0.6256922840896308,0.8935963546154135,0.402606776944578,0.7410526315789475,4.8000054554249434e-35,0.0197626378734237,0.0754498037863562,0.6503133566746655,0.6635512461493761,0.4940898345153663,0.7790000794745656,0.8363102365668521,0.5,0.4166666666666667,0.8621096702155168,0.2586387081255474,0.4474236145061986,0.5078431097856304,0.5915613615995533,0.3753012282006396,0.5011799913018385,0.3785010903684057,0.768776078214948,0.7106893828076011,0.5309402102312581,0.4283035663225819,0.534844580733961,0.1974522995425931,0.7067163361455026,0.2179183357364259,0.3411149703539978,0.3617324813472549,0.3243833885836659,0.7641515734017943,0.8027614879713134,0.7667791374726889,0.1533948699415056,0.3558297217155106,0.4998639250249735,0.2990283044102967,0.4526459686995681,0.2342704149933068,0.3625778831084439
Mov. 1 - Cell 12,0.7481581960617305,0.1119758120972378,0.7673313568614688,0.5085584180295535,0.3330027578995576,1.0,5.2469702528105326e-33,0.004587637327384,0.0078963053504207,0.1920728060737513,0.2013185976724678,0.2100381887615932,0.2912371447098555,0.2165043500361384,0.3846153846153846,0.0714285714285714,0.718329323127293,0.256173155946748,0.3347702485102126,0.6796485609257589,0.3729423898293628,0.3637848701686281,0.3381869965473863,0.658823971201792,0.4076697989360641,0.6355811870688359,0.7133201549164596,0.1506811396489842,0.8409886865460307,0.1004798023422958,0.0381154815382929,0.035212466890063,0.0915201908571027,0.0211314731752481,0.5611852928241109,0.6056789701933349,0.72598527700403,0.7561455339941645,0.175110269007762,0.0451730802098515,0.130198054982217,0.0908285291680526,0.5008467584350166,0.0471887550200804,0.1903520507625854
Mov. 1 - Cell 12.1,0.994775843249883,0.3144466898226364,0.6892553540365292,0.8305860315848975,0.383324052473408,0.4821052631578947,1.7893394834960605e-33,0.0158442224158866,0.101500425922191,0.7935445469701681,0.8227348525726278,0.6028368794326242,0.7805219742032864,0.8113342488556675,0.5,0.5454545454545454,0.9238701985036368,0.340928914667687,0.3216438221207605,0.6525183841293446,0.4423787739193895,0.5181811201857589,0.2232286315893853,0.7771121905530168,0.3132119782038077,0.6705149009457545,0.5890418147155986,0.3518429727321263,0.6103226076267224,0.2202713632921317,0.9353522515613014,0.2454667346385119,0.4548152826018315,0.4047317275345378,0.2111994211747485,0.3413200743660862,0.808985714341981,0.6795765931570381,0.1741482225675801,0.2519321269252208,0.4832936245129423,0.0913938998740195,0.3979803127822596,0.328404527199708,0.2366225708850196
Mov. 1 - Cell 13.1,1.0,0.2059995403717002,0.6938746558688198,0.6486913818224319,0.076642660728672,0.4821052631578947,2.48855608553554e-32,0.0238331588190249,0.08059593281108,0.335628593345469,0.5743374287280988,0.6595744680851063,0.7519931610636816,0.8433034802834939,0.5454545454545454,0.6363636363636365,0.7198794200732177,0.3891130996950301,0.2625255600174492,0.7194674931081382,0.359747298375044,0.5179562496272743,0.2688631622603887,0.6991720870044795,0.3936822302925395,0.6007417524827763,0.7109193580742106,0.1771135640640138,0.7934600813732653,0.2430904270416741,0.3533559767722144,0.2730151335405957,0.3854752131354595,0.4465110075299232,0.5310581754580169,0.6691685641324956,0.8152099407126467,0.8156985567143433,0.1949905886006317,0.17811791616379,0.4689206944285525,0.1660557496190191,0.4720327948648664,0.3596739900779591,0.1684481788546902
Mov. 1 - Cell 14.1,0.8502129408937016,0.1933532895116959,0.6669846185424575,0.7069830681716449,0.1359483584362589,0.8273684210526316,7.147399293459247e-35,0.0050874821131889,0.0793500448199433,0.6350693358202495,0.6671972862194563,0.4940898345153663,0.7790000794745656,0.9233491602026446,0.5,0.4166666666666667,0.5820542272293991,0.386971394293991,0.2902841441722317,0.6865748452955193,0.3847464638308591,0.5531214979594803,0.2282256904883009,0.7564195264072487,0.3155843300487083,0.6308132487824125,0.6322917071507869,0.2886346170019255,0.6922253130725167,0.2659094907912112,0.1905335816807276,0.3005635324426738,0.1358909588464373,0.462493420710129,0.32054807617894,0.3948296570633427,0.8214341670833143,0.7667791374726889,0.2159051743171246,0.1449276137103202,0.4563542513854681,0.5618211820203595,0.4394324851259801,0.2342704149933068,0.1884816825903295
Mov. 1 - Cell 15,0.7262557589032284,0.1281455818984941,0.6068107054380043,0.803248423038253,0.1328114743181253,0.913684210526316,9.862240291935854e-33,0.0048229572244599,0.0426394940750529,0.7539744072568637,0.6787216295632973,0.375886524822695,0.2939445569036268,0.3597909083637415,0.3333333333333332,0.4166666666666667,0.7784086924823937,0.1392278042650919,0.505331399271759,0.50682381062947,0.5481913273652687,0.3145941340741742,0.4304406426985213,0.5551441901508882,0.5128200771648479,0.7944425506232458,0.4810751626387752,0.4324657452702449,0.5748414296340721,0.0656957622892307,0.2875380738468279,0.0994070996088374,0.2190927270813598,0.5437265798858832,0.3213298407350693,0.7269898291802834,0.7589005310184458,0.7433835954064536,0.1328570248119496,0.1066130950163442,0.6065835602017414,0.3842195890036825,0.4701990657742101,0.3637048192771088,0.114819769886472
Mov. 1 - Cell 15.1,0.9109358967987616,0.2126001462966174,0.6687361755774468,0.6692268105660487,0.1123505827673999,0.4821052631578947,7.935243350349511e-33,0.0084171597068416,0.0671944372523614,0.2752145191952584,0.4435576116883717,0.6595744680851063,0.7964689245055255,0.8433034802834939,0.7272727272727273,0.4545454545454546,0.6315806441331513,0.4055695043280337,0.2895669927283532,0.6719276219094151,0.4151738331764761,0.5611137620303466,0.2523151881449597,0.7053545190873898,0.3905820166599547,0.6120326725484697,0.6422930203071879,0.2902795258257699,0.6768001912606949,0.2887285545407524,0.3602892516708669,0.3281119313447618,0.3142125390309793,0.4250548317443178,0.5747787921678515,0.4070183000794218,0.827658393453981,0.7029721352232725,0.2368791208714575,0.1279950070781535,0.4452866688203781,0.3300948145683541,0.3982513797443331,0.1220672162333545,0.2085151863259681
Mov. 1 - Cell 17,0.7645292066366309,0.0589891814964818,0.671039272225153,0.5866504712427405,0.0973976224667908,0.3094736842105264,4.51018234121764e-33,0.004378084967461,0.0198406080456929,0.583536345842059,0.717068575655463,0.4326241134751776,0.42466849183292,0.2764386337382359,0.5,0.3636363636363635,0.7954526235872037,0.2907906414155396,0.2634520529554406,0.7674319039679942,0.2779382998985157,0.418987548618392,0.215895256795932,0.8368020136571448,0.1975131903271712,0.6624354390263696,0.675489957517179,0.1993961241580466,0.7875478129445411,0.1082097701055759,0.1836046893831484,0.0641972526939893,0.0859734063081077,0.5205968615224508,0.3304315488352127,0.4355524825397534,0.8004768865619241,0.739129615877216,0.0852197286003121,0.0248808884509086,0.4645210072920369,0.3021780690976833,0.4383262098099905,0.1955093099671413,0.0574060624593858
