,a_mean,a_std,a_range,a_median,a_skew,a_kurtosis,b_dominant_freq,b_total_power,b_band_power_low,b_band_power_mid,b_band_power_high,b_spectral_entropy,b_spectral_flatness,c_avg_time_between_peaks,c_std_time_between_peaks,c_avg_time_between_troughs,c_std_time_between_troughs,c_mean_peak_to_trough_time,c_mean_trough_to_peak_time,c_oscillation_rate,d_slope_magnitude,d_poly_mag_c0,d_poly_mag_c1,d_poly_mag_c2,d_poly_mag_c3,d_poly_peak_c0,d_poly_peak_c1,d_poly_peak_c2,d_poly_peak_c3,d_poly_trough_c0,d_poly_trough_c1,d_poly_trough_c2,d_poly_trough_c3,d_mean_magnitude,d_std_magnitude,d_initial_magnitude,d_final_magnitude,d_mean_peak_to_trough_magnitude,d_mean_trough_to_peak_magnitude,d_initial_peak_to_trough_magnitude,d_final_peak_to_trough_magnitude,d_initial_trough_to_peak_magnitude,d_final_trough_to_peak_magnitude,e_autocorr_lag1,e_autocorr_lagk,e_hurst_exponent,f_early_mean,f_late_mean,f_early_std,f_late_std,f_early_autocorr,f_late_autocorr,f_delta_mean,g_asymmetry_index,g_sharpness_index
Mov. 1 - Cell 10,0.6611892030627047,0.06991516882249946,0.07054438140910259,0.671039272225153,0.6356543359649302,0.21030476508474305,0.4821052631578947,0.020995656548995784,6.860643796199376e-34,0.0,0.041655205437402795,0.5700122876873506,0.5025302771733576,0.4893617021276597,0.39940066935947827,0.5108695652173914,0.22074894297033995,0.5,0.41666666666666674,0.3943217665615142,0.8925691270521725,0.25897630858047704,0.27227137784156213,0.760754135168159,0.2943891714536504,0.4576273421767989,0.1759528111826762,0.8570373669883065,0.2066824473783564,0.7377188920763176,0.6446292460903529,0.19720438574458807,0.8028491902950031,0.06343892224993697,0.09723301848440305,0.06955830152578445,0.24596910266243008,0.055989394930534286,0.0709700284682914,0.02485046491460191,0.18026172683577169,0.04875867386276027,0.2010332366650977,0.5262602949611082,0.543980656719484,0.1091228016617376,0.6913364877392372,0.705100470332459,0.06967454628950417,0.07420846268897052,0.32364700842329924,0.37143994074158604,0.49594455438174195,0.2342704149933068,0.07855204311761775
Mov. 1 - Cell 10.1,0.869504765558375,0.15036283208285847,0.13210819082873576,0.6279600304576594,0.7988480806225299,0.22357576687376968,0.05052631578947375,0.054254255315249786,1.437230407790915e-33,0.004250609637922886,0.10145511908983615,0.8078696130486631,0.630996689987264,0.6028368794326242,0.8653662607511968,0.6956521739130435,0.8797974631288158,0.7272727272727273,0.36363636363636354,0.24290220820189257,0.6554554054043127,0.31442923031617354,0.30676969867116166,0.7005948431268634,0.35478051368306485,0.46681675866968186,0.2586145510443951,0.7511531929892346,0.30969543035864067,0.6796324843551564,0.6282788926658106,0.25904628255564693,0.7389229537081645,0.10988765433444936,0.17019153867261338,0.17463323579305595,0.11778678645776272,0.119442399306179,0.10027719162828361,0.19036993683434797,0.18304038171420567,0.10793123462712843,0.03300891271010173,0.7291588228461251,0.07232575560502454,0.4273286246620174,0.7965372616006459,0.7667791374726889,0.13275285521839092,0.17569042818410205,0.5191320858151616,0.7231079654950145,0.45705046322409715,0.06436271401395055,0.10834766764777214
Mov. 1 - Cell 11,0.7262557589032284,0.09078479336151449,0.07760387692142927,0.6389148357226961,0.8529849982560767,0.2332836659017814,0.22315789473684222,0.028688175533807075,8.735491249679387e-33,0.002940418953714335,0.05053284622241444,0.742562795339198,0.6729175440483864,0.375886524822695,0.3730786739062204,0.40217391304347827,0.3597909083637415,0.41666666666666674,0.33333333333333326,0.3943217665615142,0.794024486117224,0.10583852747144341,0.49420256467593016,0.5384462785456854,0.5033025487300924,0.19090203651076387,0.5013320242555898,0.5106557517457926,0.5361667733016314,0.7726282802001327,0.5367974532703811,0.35671500077352514,0.6510655071092599,0.03525045096272966,0.0462013945730711,0.021895871157425417,0.15589350279390812,0.02928264156338134,0.04128862948705725,0.0,0.10538188962565358,0.042259573374453976,0.09601661074080267,0.6257590825917777,0.276893296461372,0.8869027891711754,0.7450410153125286,0.7433835954064554,0.11721647843682362,0.06481393018824891,0.6302483354024966,0.4219061296830517,0.48000657556000925,0.23068745570517368,0.11481976988647204
Mov. 1 - Cell 11.1,0.9110897871012078,0.2835134289629804,0.27042657440434587,0.6256922840896308,0.8935963546154135,0.402606776944578,0.7410526315789475,0.13069707423286608,4.800005455424944e-35,0.01976263787342379,0.07544980378635624,0.6503133566746655,0.6635512461493761,0.49408983451536637,0.7790000794745656,0.5652173913043479,0.8363102365668521,0.5,0.41666666666666674,0.3943217665615142,0.8621096702155168,0.2586387081255474,0.4474236145061986,0.5078431097856304,0.5915613615995533,0.3753012282006396,0.5011799913018385,0.37850109036840573,0.768776078214948,0.7106893828076011,0.5309402102312581,0.42830356632258193,0.534844580733961,0.1960730607507956,0.26475360613614296,0.19745229954259313,0.7067163361455026,0.1733683621296343,0.21897843535580488,0.2179183357364259,0.34111497035399785,0.12483353420357775,0.6421098981187653,0.36173248134725494,0.32438338858366594,0.7641515734017943,0.8027614879713134,0.7667791374726889,0.1533948699415056,0.35582972171551064,0.49986392502497357,0.2990283044102967,0.4526459686995681,0.2342704149933068,0.36257788310844397
Mov. 1 - Cell 12,0.7481581960617305,0.11197581209723781,0.1363883823253793,0.7673313568614688,0.5085584180295535,0.3330027578995576,0.9999999999999999,0.03716968645686035,5.246970252810533e-33,0.0045876373273840065,0.007896305350420782,0.19207280607375132,0.20131859767246785,0.2100381887615932,0.2912371447098555,0.214046822742475,0.21650435003613847,0.3846153846153846,0.0714285714285714,0.7392218717139851,0.718329323127293,0.25617315594674805,0.33477024851021264,0.6796485609257589,0.37294238982936284,0.36378487016862815,0.3381869965473863,0.658823971201792,0.40766979893606414,0.6355811870688359,0.7133201549164596,0.15068113964898422,0.8409886865460307,0.04327048450926135,0.09361771351323847,0.10047980234229588,0.03811548153829296,0.030387402947652048,0.055389025142557224,0.03521246689006302,0.09152019085710274,0.07639167309175023,0.08701659555730992,0.021131473175248106,0.5611852928241109,0.6056789701933349,0.72598527700403,0.7561455339941645,0.17511026900776203,0.045173080209851516,0.13019805498221704,0.09082852916805262,0.5008467584350166,0.047188755020080464,0.19035205076258543
Mov. 1 - Cell 12.1,0.994775843249883,0.31444668982263646,0.30694595866823043,0.6892553540365292,0.8305860315848975,0.383324052473408,0.4821052631578947,0.15227449077871272,1.7893394834960605e-33,0.01584422241588667,0.10150042592219106,0.7935445469701681,0.8227348525726278,0.6028368794326242,0.7805219742032864,0.6245059288537549,0.8113342488556675,0.5,0.5454545454545454,0.31861198738170327,0.9238701985036368,0.340928914667687,0.3216438221207605,0.6525183841293446,0.4423787739193895,0.5181811201857589,0.22322863158938536,0.7771121905530168,0.31321197820380775,0.6705149009457545,0.5890418147155986,0.35184297273212634,0.6103226076267224,0.27123297119621864,0.32840534360878887,0.22027136329213176,0.9353522515613014,0.28000687582007344,0.2614708721679476,0.24546673463851196,0.45481528260183157,0.14173583378003318,0.4560741561774039,0.4047317275345378,0.2111994211747485,0.34132007436608625,0.808985714341981,0.6795765931570381,0.17414822256758014,0.2519321269252208,0.4832936245129423,0.09139389987401958,0.39798031278225965,0.32840452719970803,0.23662257088501965
Mov. 1 - Cell 13.1,1.0,0.20599954037170023,0.12022168783052355,0.6938746558688198,0.6486913818224319,0.07664266072867201,0.4821052631578947,0.08295137253819002,2.48855608553554e-32,0.02383315881902499,0.08059593281108005,0.335628593345469,0.5743374287280988,0.6595744680851063,0.7519931610636816,0.7608695652173911,0.8433034802834939,0.5454545454545454,0.6363636363636365,0.24290220820189257,0.7198794200732177,0.38911309969503016,0.26252556001744926,0.7194674931081382,0.359747298375044,0.5179562496272743,0.2688631622603887,0.6991720870044795,0.39368223029253957,0.6007417524827763,0.7109193580742106,0.17711356406401382,0.7934600813732653,0.20535901813577445,0.17662218742806868,0.2430904270416741,0.3533559767722144,0.21227121131931675,0.1984100419780844,0.2730151335405957,0.38547521313545957,0.15863813335648697,0.34504866309348464,0.4465110075299232,0.5310581754580169,0.6691685641324956,0.8152099407126467,0.8156985567143433,0.19499058860063176,0.17811791616379002,0.4689206944285525,0.1660557496190191,0.47203279486486643,0.3596739900779591,0.1684481788546902
Mov. 1 - Cell 14.1,0.8502129408937016,0.19335328951169597,0.1349327309581223,0.6669846185424575,0.7069830681716449,0.1359483584362589,0.8273684210526316,0.07601950506006427,7.147399293459248e-35,0.005087482113188951,0.07935004481994336,0.6350693358202495,0.6671972862194563,0.49408983451536637,0.7790000794745656,0.5652173913043479,0.9233491602026446,0.5,0.41666666666666674,0.3943217665615142,0.5820542272293991,0.386971394293991,0.2902841441722317,0.6865748452955193,0.3847464638308591,0.5531214979594803,0.2282256904883009,0.7564195264072487,0.31558433004870834,0.6308132487824125,0.6322917071507869,0.28863461700192555,0.6922253130725167,0.1503987297933666,0.1966107391251748,0.26590949079121123,0.19053358168072765,0.16586820840461813,0.13482520681418278,0.30056353244267386,0.13589095884643732,0.17554043293293642,0.12001791652115809,0.462493420710129,0.32054807617894004,0.3948296570633427,0.8214341670833143,0.7667791374726889,0.21590517431712467,0.14492761371032029,0.45635425138546815,0.5618211820203595,0.4394324851259801,0.2342704149933068,0.1884816825903295
Mov. 1 - Cell 15,0.7262557589032284,0.12814558189849415,0.08465742258503063,0.6068107054380043,0.803248423038253,0.13281147431812534,0.913684210526316,0.04409596146676861,9.862240291935854e-33,0.004822957224459947,0.042639494075052936,0.7539744072568637,0.6787216295632973,0.375886524822695,0.29394455690362686,0.40217391304347827,0.3597909083637415,0.33333333333333326,0.41666666666666674,0.3943217665615142,0.7784086924823937,0.13922780426509196,0.505331399271759,0.50682381062947,0.5481913273652687,0.31459413407417425,0.43044064269852134,0.5551441901508882,0.5128200771648479,0.7944425506232458,0.48107516263877526,0.43246574527024495,0.5748414296340721,0.09335587237334525,0.07753062779960415,0.06569576228923073,0.28753807384682795,0.09023839745616952,0.09651952518145943,0.09940709960883742,0.21909272708135985,0.1056427653559495,0.1920408132278585,0.5437265798858832,0.3213298407350693,0.7269898291802834,0.7589005310184458,0.7433835954064536,0.13285702481194964,0.10661309501634422,0.6065835602017414,0.3842195890036825,0.4701990657742101,0.36370481927710885,0.11481976988647204
Mov. 1 - Cell 15.1,0.9109358967987617,0.21260014629661747,0.15052420515892495,0.6687361755774468,0.6692268105660487,0.11235058276739998,0.4821052631578947,0.08666497561246832,7.935243350349511e-33,0.008417159706841629,0.06719443725236146,0.2752145191952584,0.4435576116883717,0.6595744680851063,0.7964689245055255,0.7608695652173911,0.8433034802834939,0.7272727272727273,0.4545454545454546,0.24290220820189257,0.6315806441331513,0.4055695043280337,0.2895669927283532,0.6719276219094151,0.4151738331764761,0.5611137620303466,0.2523151881449597,0.7053545190873898,0.3905820166599547,0.6120326725484697,0.6422930203071879,0.2902795258257699,0.6768001912606949,0.20852389781543518,0.1975103574710811,0.2887285545407524,0.3602892516708669,0.21864752089547246,0.19833769304886975,0.3281119313447618,0.31421253903097934,0.1924427325093937,0.28204855680903723,0.4250548317443178,0.5747787921678515,0.40701830007942186,0.827658393453981,0.7029721352232725,0.2368791208714575,0.1279950070781535,0.4452866688203781,0.3300948145683541,0.3982513797443331,0.12206721623335459,0.2085151863259681
