Cell_Name,K2_DW,K2_DK
Mov. 1 - Cell 10,2,2
Mov. 1 - Cell 10.1,2,2
Mov. 1 - Cell 11,2,2
Mov. 1 - Cell 11.1,2,2
Mov. 1 - Cell 12,2,2
Mov. 1 - Cell 12.1,2,2
Mov. 1 - Cell 13.1,2,2
Mov. 1 - Cell 14.1,2,2
Mov. 1 - Cell 15,2,2
Mov. 1 - Cell 15.1,2,2
Mov. 1 - Cell 17,2,2
Mov. 1 - Cell 18,2,2
Mov. 1 - Cell 20,2,2
Mov. 1 - Cell 21,2,2
Mov. 1 - Cell 23,2,2
Mov. 1 - Cell 24,2,2
Mov. 1 - Cell 25,2,2
Mov. 1 - Cell 26,2,2
Mov. 1 - Cell 7,2,2
Mov. 1 - Cell 7.1,2,2
Mov. 1 - Cell 9,1,1
Mov. 1 - Cell 9.1,2,2
Mov. 1 - M,2,2
Mov. 1 - N,1,1
Mov. 1 - O,1,1
Mov. 1 - cell 16.1,2,2
Mov. 2 - 15 (purple),2,2
Mov. 2 - 15 (white),2,2
Mov. 2 - Cell 1,1,1
Mov. 2 - Cell 11,1,1
Mov. 2 - Cell 12,2,2
Mov. 2 - Cell 13,2,2
Mov. 2 - Cell 14,2,2
Mov. 2 - Cell 16,1,1
Mov. 2 - Cell 18,2,2
Mov. 2 - Cell 2,1,1
Mov. 2 - Cell 22,1,1
Mov. 2 - Cell 23,1,1
Mov. 2 - Cell 3,2,2
Mov. 2 - Cell 34,1,1
Mov. 2 - Cell 36,1,1
Mov. 2 - Cell 4,2,2
Mov. 2 - Cell 5,2,2
Mov. 2 - Cell C1,2,2
Mov. 2 - Cell C2,2,2
Mov. 2 - Cell C3,2,2
Mov. 2 - Cell C4,2,1
Mov. 2 - Cell C5,2,2
Mov. 2 - P,2,2
Mov. 2 - R,2,2
Mov. 2 - S,2,2
Mov. 2 - T,2,2
Mov. 2 - U,2,2
Mov. 2 - V,2,2
Mov. 2 - W,2,2
Mov. 2 - X,2,2
Mov. 2 - Y,2,2
Mov. 2 - Z,2,2
Mov. 3 - Cell 1,2,2
Mov. 3 - Cell 10,2,2
Mov. 3 - Cell 11,2,2
Mov. 3 - Cell 12,2,2
Mov. 3 - Cell 13,2,2
Mov. 3 - Cell 14,1,1
Mov. 3 - Cell 15,2,2
Mov. 3 - Cell 2,2,2
Mov. 3 - Cell 21,1,1
Mov. 3 - Cell 22,1,1
Mov. 3 - Cell 23,2,2
Mov. 3 - Cell 24,1,1
Mov. 3 - Cell 25,1,1
Mov. 3 - Cell 26,1,1
Mov. 3 - Cell 27,1,1
Mov. 3 - Cell 28,1,1
Mov. 3 - Cell 29,1,1
Mov. 3 - Cell 3,2,2
Mov. 3 - Cell 30,2,2
Mov. 3 - Cell 31,1,1
Mov. 3 - Cell 34,2,2
Mov. 3 - Cell 36,2,2
Mov. 3 - Cell 37,2,2
Mov. 3 - Cell 38,2,2
Mov. 3 - Cell 39,1,1
Mov. 3 - Cell 4,2,1
Mov. 3 - Cell 40,1,1
Mov. 3 - Cell 41,1,1
Mov. 3 - Cell 42,1,1
Mov. 3 - Cell 43,2,1
Mov. 3 - Cell 44,1,1
Mov. 3 - Cell 45,2,2
Mov. 3 - Cell 46,1,1
Mov. 3 - Cell 47,1,1
Mov. 3 - Cell 48,2,2
Mov. 3 - Cell 49,2,2
Mov. 3 - Cell 5,2,2
Mov. 3 - Cell 50,2,1
Mov. 3 - Cell 51,2,2
Mov. 3 - Cell 52,1,1
Mov. 3 - Cell 53,1,1
Mov. 3 - Cell 54,2,1
Mov. 3 - Cell 55,1,1
Mov. 3 - Cell 56,1,1
Mov. 3 - Cell 57,1,1
Mov. 3 - Cell 58,2,2
Mov. 3 - Cell 6,2,2
Mov. 3 - Cell 7,2,1
Mov. 3 - Cell 8,1,1
Mov. 3 - Cell 9,2,2
