Feature,Feature_Label,Stage1_Abs_Rank,K2_U1_Median,K2_U2_Median,Stage1_Delta,Stage1_Delta_CI_Lower,Stage1_Delta_CI_Upper,Stage1_Stratified_BH_q,Stage1_Direction_Consistent_All_Movies,Stage2_Delta,Stage2_Delta_CI_Lower,Stage2_Delta_CI_Upper,Stage2_Stratified_BH_q,Stage2_Direction_Consistent_All_Movies,Percent_Attenuation
a_std,Standard deviation,1,0.7191456713753002,0.2126001462966174,-1.0,-1.0,-1.0,0.0005624437556244375,True,-0.9791898922333705,-0.9977703455964325,-0.9494611668524712,0.0004999500049995,True,2.0810107766629504
g_sharpness_index,Sharpness index,2,0.620576430564581,0.1882114598065823,-0.9953243717124488,-1.0,-0.9812974868497955,0.0005624437556244375,True,-0.9531772575250836,-0.9881085098476403,-0.9048680787811223,0.0004999500049995,True,4.234510415418779
f_early_std,Early standard deviation,3,0.6296434919652587,0.1741482225675801,-0.9590882524839275,-0.9918176504967855,-0.907656341320865,0.0005624437556244375,True,-0.9308807134894092,-0.9732441471571907,-0.8676885916016354,0.0004999500049995,True,2.9410785630481944
d_initial_peak_to_trough_magnitude,Initial fall amplitude,4,0.7056667443925981,0.169821553488104,-0.9286966686148451,-0.994155464640561,-0.8293395675043834,0.0005624437556244375,True,-0.913786696395392,-0.9777220364176885,-0.8260869565217391,0.0004999500049995,True,1.605472779577362
d_slope_magnitude,Slope of oscillation magnitude,5,0.4330837503536675,0.764737348799183,0.9181765049678551,0.8293395675043834,0.9812974868497955,0.0005624437556244375,True,0.8416945373467113,0.705685618729097,0.9435154217762913,0.0004999500049995,True,8.329767447471484
d_initial_magnitude,Initial oscillation strength,6,0.4933619737086569,0.1208485852024002,-0.891291642314436,-0.9614260666277031,-0.7954412624196376,0.0005624437556244375,True,-0.8260869565217391,-0.9160163507989595,-0.7175771088814568,0.0004999500049995,True,7.315751960085533
b_band_power_high,High-frequency band power,7,0.2615714320205347,0.0593609585933318,-0.8877849210987726,-0.9614260666277031,-0.7895967270601987,0.0005624437556244375,True,-0.7807506503158677,-0.8914901523597176,-0.654384986993683,0.0004999500049995,True,12.056328986803845
b_band_power_mid,Mid-frequency band power,8,0.0733496336119925,0.0125122765209656,-0.7568673290473408,-0.8772647574517826,-0.6014026884862653,0.0005624437556244375,True,-0.6893348197696024,-0.8164251207729468,-0.5503344481605354,0.0004999500049995,True,8.922635009591529
f_late_std,Late standard deviation,9,0.2538679950050941,0.1227068829557947,-0.5639976621858562,-0.7451782583284629,-0.3489187609585038,0.004178153613210107,True,-0.4693422519509476,-0.6469713861018209,-0.28128948346339677,0.0334966503349665,True,16.782943721443388
d_poly_peak_c3,Peak-magnitude polynomial coefficient (c3),10,0.5610874267002343,0.4201242334068754,-0.5558153126826417,-0.7545295149035651,-0.3337229690239626,0.0026997300269973002,True,-0.5540691192865106,-0.7250092902266815,-0.36157562244518765,0.0008999100089991002,True,0.3141679180631306
