Rank,K2_Strict_Signature,Count,Proportion,Cumulative_Count,Cumulative_Proportion
1,K2-DW2-DK2-PK1-NH2-NK2,59,0.5462962962962963,59,0.5462962962962963
2,K2-DW1-DK1-PK2-NH1-NK1,29,0.26851851851851855,88,0.8148148148148148
3,K2-DW1-DK1-PK2-NH2-NK2,3,0.027777777777777776,91,0.8425925925925926
4,K2-DW2-DK1-PK1-NH2-NK2,3,0.027777777777777776,94,0.8703703703703703
5,K2-DW2-DK2-PK2-NH1-NK1,3,0.027777777777777776,97,0.8981481481481481
6,K2-DW2-DK2-PK2-NH2-NK2,3,0.027777777777777776,100,0.9259259259259259
7,K2-DW2-DK2-PK1-NH1-NK1,2,0.018518518518518517,102,0.9444444444444444
8,K2-DW1-DK1-PK2-NH1-NK2,1,0.009259259259259259,103,0.9537037037037037
9,K2-DW1-DK1-PK2-NH2-NK1,1,0.009259259259259259,104,0.9629629629629629
10,K2-DW2-DK1-PK1-NH1-NK2,1,0.009259259259259259,105,0.9722222222222222
11,K2-DW2-DK1-PK2-NH1-NK1,1,0.009259259259259259,106,0.9814814814814815
12,K2-DW2-DK1-PK2-NH1-NK2,1,0.009259259259259259,107,0.9907407407407407
13,K2-DW2-DK2-PK1-NH1-NK2,1,0.009259259259259259,108,1.0
