Feature,K2_U1_n,K2_U2_n,K2_U1_Median,K2_U1_Q1,K2_U1_Q3,K2_U1_IQR,K2_U2_Median,K2_U2_Q1,K2_U2_Q3,K2_U2_IQR,K2_U1_Mean,K2_U1_SD,K2_U2_Mean,K2_U2_SD,HL_Shift_K2_U2_minus_K2_U1,HL_CI_Lower,HL_CI_Upper,Cliffs_Delta_K2_U2_vs_K2_U1,Delta_CI_Lower,Delta_CI_Upper,MannWhitney_U_K2_U1,MW_p,MW_BH_q,Movie1_Delta,Movie1_Delta_Sign,Movie2_Delta,Movie2_Delta_Sign,Movie3_Delta,Movie3_Delta_Sign,Movies_Matching_Pooled_Direction,Direction_Consistent_All_Movies,Any_Movie_Direction_Reversal,Stratified_Delta,Stratified_Permutation_p,Stratified_BH_q,Stage1_Abs_Rank
a_std,29,59,0.7191456713753002,0.6711423986929371,0.7915467991033037,0.1204044004103666,0.2126001462966174,0.08889256985385095,0.3352289382281775,0.24633636837432654,0.7483391505963198,0.10396404983257107,0.22746544736239932,0.1498702990578575,-0.5330449907507092,-0.584554845374108,-0.46517274066480097,-1.0,-1.0,-1.0,1711.0,3.2004074599870224e-14,9.45313433045558e-13,-1.0,negative,-1.0,negative,-1.0,negative,3,True,False,-1.0,9.999000099990002e-05,0.0005624437556244375,1
g_sharpness_index,29,59,0.620576430564581,0.5588089140323381,0.722143648943083,0.1633347349107449,0.1882114598065823,0.07402622223921096,0.2676197393066013,0.19359351706739036,0.6518490458016961,0.1467016525115715,0.1878332697524065,0.12336449039221134,-0.45589618133863385,-0.5196552119567295,-0.403857488916473,-0.9953243717124488,-1.0,-0.9812974868497955,1707.0,4.2013930357580357e-14,9.45313433045558e-13,-1.0,negative,-1.0,negative,-0.9752321981424149,negative,3,True,False,-0.9848771266540642,9.999000099990002e-05,0.0005624437556244375,2
f_early_std,29,59,0.6296434919652587,0.5442641300246069,0.7307792511201986,0.18651512109559165,0.1741482225675801,0.08871737670478215,0.24244684038884046,0.15372946368405832,0.6342244370549992,0.1662011523703161,0.18868391418303332,0.12220336926973925,-0.45905589196538477,-0.5218252572761563,-0.3830667243771218,-0.9590882524839275,-0.9918176504967855,-0.907656341320865,1676.0,3.356917741405599e-13,5.035376612108399e-12,-1.0,negative,-0.9714285714285714,negative,-0.9009287925696594,negative,3,True,False,-0.9319470699432892,9.999000099990002e-05,0.0005624437556244375,3
d_initial_peak_to_trough_magnitude,29,59,0.7056667443925981,0.5927693924015476,0.8553171087001515,0.26254771629860396,0.169821553488104,0.06523738285435801,0.2591234086925537,0.19388602583819567,0.6936546154201263,0.21555615265122943,0.1778000587715884,0.13079415670236835,-0.5547535762574778,-0.6243155180378176,-0.4579821474888849,-0.9286966686148451,-0.994155464640561,-0.8293395675043834,1650.0,1.8093426537566641e-12,2.035510485476247e-11,-1.0,negative,-0.8571428571428571,negative,-0.9442724458204335,negative,3,True,False,-0.9281663516068053,9.999000099990002e-05,0.0005624437556244375,4
d_slope_magnitude,29,59,0.4330837503536675,0.307626674588488,0.5975561447515294,0.2899294701630414,0.764737348799183,0.7145726914909427,0.8156531619654488,0.10108047047450608,0.41862813666889587,0.19056256658061982,0.7625265883649325,0.09373001515327761,0.33800577360241296,0.26089891178655783,0.41367488067883373,0.9181765049678551,0.8293395675043834,0.9812974868497955,70.0,3.2023281828410852e-12,2.882095364556977e-11,1.0,positive,0.8857142857142857,positive,0.9628482972136223,positive,3,True,False,0.947069943289225,9.999000099990002e-05,0.0005624437556244375,5
d_initial_magnitude,29,59,0.4933619737086569,0.2688832535292529,0.6049714302477562,0.33608817671850333,0.1208485852024002,0.06762703190750755,0.17105060139680328,0.10342356948929574,0.46470353049914587,0.20975931405314727,0.13269000579494628,0.0913565315372032,-0.33177764361182777,-0.426895333335506,-0.2181992418340709,-0.891291642314436,-0.9614260666277031,-0.7954412624196376,1618.0,1.338884489967942e-11,1.0041633674759565e-10,-1.0,negative,-0.8714285714285714,negative,-0.913312693498452,negative,3,True,False,-0.9130434782608695,9.999000099990002e-05,0.0005624437556244375,6
b_band_power_high,29,59,0.2615714320205347,0.1566477617574196,0.3247691166292333,0.1681213548718137,0.0593609585933318,0.025575320362317,0.0848077010211008,0.0592323806587838,0.30049782190662194,0.2208911787767446,0.06893949229515865,0.057432880678115986,-0.1822155825539642,-0.23815103279985703,-0.1235462480030809,-0.8877849210987726,-0.9614260666277031,-0.7895967270601987,1615.0,1.6086814896706463e-11,1.0341523862168441e-10,-0.9696969696969697,negative,-0.9142857142857143,negative,-0.7585139318885449,negative,3,True,False,-0.8260869565217391,9.999000099990002e-05,0.0005624437556244375,7
b_band_power_mid,29,59,0.0733496336119925,0.0358441470018244,0.1644965989867725,0.1286524519849481,0.0125122765209656,0.004314347302691901,0.0316984029968711,0.027384055694179198,0.1580819496264161,0.22441608386776735,0.021978296780053943,0.02456078752814689,-0.056194683034925995,-0.0891837875132354,-0.0303629552686394,-0.7568673290473408,-0.8772647574517826,-0.6014026884862653,1503.0,9.273804267639266e-09,5.216514900547087e-08,-0.7878787878787878,negative,-0.7142857142857143,negative,-0.6346749226006192,negative,3,True,False,-0.6748582230623819,9.999000099990002e-05,0.0005624437556244375,8
f_late_std,29,59,0.2538679950050941,0.1653880886226769,0.3133019349809584,0.14791384635828148,0.1227068829557947,0.0499071545768719,0.21665962299592867,0.16675246841905678,0.29476458357825885,0.22080007000603855,0.1375207587692302,0.09441551362583989,-0.11368931852195219,-0.1676256935814305,-0.0688872399590835,-0.5639976621858562,-0.7451782583284629,-0.3489187609585038,1338.0,1.8792374660110308e-05,9.396187330055153e-05,-0.6666666666666666,negative,-0.5285714285714286,negative,-0.3931888544891641,negative,3,True,False,-0.46313799621928164,0.0012998700129987,0.004178153613210107,9
d_poly_peak_c3,29,59,0.5610874267002343,0.4574315594688224,0.6897945586075855,0.23236299913876313,0.4201242334068754,0.33763981028462886,0.47711199505210816,0.1394721847674793,0.5975202720642386,0.22080737547298868,0.4165455398186308,0.12403279668480476,-0.1664996967600439,-0.2455796331102961,-0.09315846456369412,-0.5558153126826417,-0.7545295149035651,-0.3337229690239626,1331.0,2.4797349937481644e-05,0.0001115880747186674,-0.7272727272727273,negative,-0.12857142857142856,negative,-0.653250773993808,negative,3,True,False,-0.5236294896030246,0.0005999400059994001,0.0026997300269973002,10
