Feature,Stage1_Delta,Stage2_Delta,Stage1_Abs_Delta,Stage2_Abs_Delta,Stage1_Abs_Rank,Stage2_Abs_Rank,Stage1_HL_Shift,Stage2_HL_Shift,Stage1_Delta_CI_Lower,Stage1_Delta_CI_Upper,Stage2_Delta_CI_Lower,Stage2_Delta_CI_Upper,Delta_Change,Abs_Delta_Change,Abs_Delta_Ratio,Percent_Attenuation,Delta_Direction_Preserved,Delta_Sign_Reversed,HL_Direction_Preserved,Stage1_MW_BH_q,Stage2_MW_BH_q,Stage1_Stratified_BH_q,Stage2_Stratified_BH_q,Stage1_Movie1_Delta,Stage1_Movie2_Delta,Stage1_Movie3_Delta,Stage2_Movie1_Delta,Stage2_Movie2_Delta,Stage2_Movie3_Delta,Stage1_Direction_Consistent_All_Movies,Stage2_Direction_Consistent_All_Movies,Stage2_Any_Movie_Direction_Reversal,Stage2_CI_Excludes_Zero
a_std,-1.0,-0.9791898922333705,1.0,0.9791898922333705,1,1,-0.5330449907507092,-0.44454636739176867,-1.0,-1.0,-0.9977703455964325,-0.9494611668524712,0.020810107766629504,-0.020810107766629504,0.9791898922333705,2.0810107766629504,True,False,True,9.45313433045558e-13,1.6402915728945969e-15,0.0005624437556244375,0.0004999500049995,-1.0,-1.0,-1.0,-1.0,-1.0,-0.9415584415584416,True,True,False,True
g_sharpness_index,-0.9953243717124488,-0.9531772575250836,0.9953243717124488,0.9531772575250836,2,2,-0.45589618133863385,-0.4018615496349527,-1.0,-0.9812974868497955,-0.9881085098476403,-0.9048680787811223,0.042147114187365164,-0.042147114187365164,0.9576548958458122,4.234510415418779,True,False,True,9.45313433045558e-13,5.407940100436621e-15,0.0005624437556244375,0.0004999500049995,-1.0,-1.0,-0.9752321981424149,-1.0,-1.0,-0.8733766233766234,True,True,False,True
f_early_std,-0.9590882524839275,-0.9308807134894092,0.9590882524839275,0.9308807134894092,3,3,-0.45905589196538477,-0.3906332566279554,-0.9918176504967855,-0.907656341320865,-0.9732441471571907,-0.8676885916016354,0.028207538994518333,-0.028207538994518333,0.9705892143695181,2.9410785630481944,True,False,True,5.035376612108399e-12,1.748355504960948e-14,0.0005624437556244375,0.0004999500049995,-1.0,-0.9714285714285714,-0.9009287925696594,-1.0,-0.9791666666666666,-0.8181818181818182,True,True,False,True
d_initial_peak_to_trough_magnitude,-0.9286966686148451,-0.913786696395392,0.9286966686148451,0.913786696395392,4,4,-0.5547535762574778,-0.4514374494017284,-0.994155464640561,-0.8293395675043834,-0.9777220364176885,-0.8260869565217391,0.014909972219453116,-0.014909972219453116,0.9839452722042263,1.605472779577362,True,False,True,2.035510485476247e-11,4.2898347778193884e-14,0.0005624437556244375,0.0004999500049995,-1.0,-0.8571428571428571,-0.9442724458204335,-1.0,-0.8541666666666666,-0.9188311688311688,True,True,False,True
d_slope_magnitude,0.9181765049678551,0.8416945373467113,0.9181765049678551,0.8416945373467113,5,5,0.33800577360241296,0.29003215937770704,0.8293395675043834,0.9812974868497955,0.705685618729097,0.9435154217762913,-0.07648196762114379,-0.07648196762114379,0.9167023255252852,8.329767447471484,True,False,True,2.882095364556977e-11,4.023584976878538e-12,0.0005624437556244375,0.0004999500049995,1.0,0.8857142857142857,0.9628482972136223,1.0,0.90625,0.8603896103896104,True,True,False,True
d_initial_magnitude,-0.891291642314436,-0.8260869565217391,0.891291642314436,0.8260869565217391,6,6,-0.33177764361182777,-0.2570788772885953,-0.9614260666277031,-0.7954412624196376,-0.9160163507989595,-0.7175771088814568,0.06520468579269689,-0.06520468579269689,0.9268424803991446,7.315751960085533,True,False,True,1.0041633674759565e-10,8.94803118089723e-12,0.0005624437556244375,0.0004999500049995,-1.0,-0.8714285714285714,-0.913312693498452,-1.0,-0.8541666666666666,-0.788961038961039,True,True,False,True
b_band_power_high,-0.8877849210987726,-0.7807506503158677,0.8877849210987726,0.7807506503158677,7,7,-0.1822155825539642,-0.16415831531268602,-0.9614260666277031,-0.7895967270601987,-0.8914901523597176,-0.654384986993683,0.10703427078290495,-0.10703427078290495,0.8794367101319616,12.056328986803845,True,False,True,1.0341523862168441e-10,1.2007118715743884e-10,0.0005624437556244375,0.0004999500049995,-0.9696969696969697,-0.9142857142857143,-0.7585139318885449,-0.9710144927536232,-0.8020833333333334,-0.5974025974025974,True,True,False,True
b_band_power_mid,-0.7568673290473408,-0.6893348197696024,0.7568673290473408,0.6893348197696024,8,8,-0.056194683034925995,-0.0557573220674939,-0.8772647574517826,-0.6014026884862653,-0.8164251207729468,-0.5503344481605354,0.06753250927773835,-0.06753250927773835,0.9107736499040847,8.922635009591529,True,False,True,5.216514900547087e-08,1.7115902636660256e-08,0.0005624437556244375,0.0004999500049995,-0.7878787878787878,-0.7142857142857143,-0.6346749226006192,-0.7971014492753623,-0.4895833333333333,-0.5811688311688312,True,True,False,True
f_late_std,-0.5639976621858562,-0.4693422519509476,0.5639976621858562,0.4693422519509476,9,12,-0.11368931852195219,-0.09371974202242253,-0.7451782583284629,-0.3489187609585038,-0.6469713861018209,-0.28128948346339677,0.09465541023490864,-0.09465541023490864,0.8321705627855661,16.782943721443388,True,False,True,9.396187330055153e-05,0.00020389023673708583,0.004178153613210107,0.0334966503349665,-0.6666666666666666,-0.5285714285714286,-0.3931888544891641,-0.6521739130434783,-0.3333333333333333,-0.288961038961039,True,True,False,True
d_poly_peak_c3,-0.5558153126826417,-0.5540691192865106,0.5558153126826417,0.5540691192865106,10,10,-0.1664996967600439,-0.15787481422875582,-0.7545295149035651,-0.3337229690239626,-0.7250092902266815,-0.36157562244518765,0.0017461933961311349,-0.0017461933961311349,0.9968583208193686,0.3141679180631306,True,False,True,0.0001115880747186674,8.491513838560755e-06,0.0026997300269973002,0.0008999100089991002,-0.7272727272727273,-0.12857142857142856,-0.653250773993808,-0.7391304347826086,-0.08333333333333333,-0.672077922077922,True,True,False,True
