Feature,K2_M1_n,K2_M2_n,K2_M1_Median,K2_M1_Q1,K2_M1_Q3,K2_M1_IQR,K2_M2_Median,K2_M2_Q1,K2_M2_Q3,K2_M2_IQR,K2_M1_Mean,K2_M1_SD,K2_M2_Mean,K2_M2_SD,HL_Shift_K2_M2_minus_K2_M1,HL_CI_Lower,HL_CI_Upper,Cliffs_Delta_K2_M2_vs_K2_M1,Delta_CI_Lower,Delta_CI_Upper,MannWhitney_U_K2_M1,MW_p,MW_BH_q,Movie1_Delta,Movie1_Delta_Sign,Movie2_Delta,Movie2_Delta_Sign,Movie3_Delta,Movie3_Delta_Sign,Movies_Matching_Pooled_Direction,Direction_Consistent_All_Movies,Any_Movie_Direction_Reversal,Stratified_Delta,Stratified_Permutation_p,Stratified_BH_q,Stage2_Abs_Rank
a_std,39,69,0.7081913949954727,0.6413752550776914,0.778124792482629,0.13674953740493756,0.2835134289629804,0.0940757424794048,0.3874008783706797,0.2933251358912749,0.7110898356879168,0.12529208623597615,0.26376573127401154,0.1666098810382253,-0.44454636739176867,-0.5107909548835974,-0.39308692496314585,-0.9791898922333705,-0.9977703455964325,-0.9494611668524712,2663.0,3.6450923842102154e-17,1.6402915728945969e-15,-1.0,negative,-1.0,negative,-0.9415584415584416,negative,3,True,False,-0.9589509692132269,9.999000099990002e-05,0.0004999500049995,1
g_sharpness_index,39,69,0.6117503153549178,0.5255931710990629,0.685281525935553,0.15968835483649013,0.2085151863259681,0.0785520431176177,0.2991284736821986,0.22057643056458087,0.6111467194064829,0.1602299851606051,0.21082726450630182,0.13372096005144146,-0.4018615496349527,-0.45588853637093374,-0.3455907648790184,-0.9531772575250836,-0.9881085098476403,-0.9048680787811223,2628.0,2.4035289335273874e-16,5.407940100436621e-15,-1.0,negative,-1.0,negative,-0.8733766233766234,negative,3,True,False,-0.9110604332953249,9.999000099990002e-05,0.0004999500049995,2
f_early_std,39,69,0.611698913076636,0.4425744772766066,0.719980492718761,0.2774060154421544,0.1923594176089402,0.0993798722267161,0.2861030284414217,0.18672315621470562,0.5988929316654161,0.17391846422834295,0.20384799597256553,0.12424364750763411,-0.3906332566279554,-0.46302662217226,-0.3268007886595659,-0.9308807134894092,-0.9732441471571907,-0.8676885916016354,2598.0,1.165570336640632e-15,1.748355504960948e-14,-1.0,negative,-0.9791666666666666,negative,-0.8181818181818182,negative,3,True,False,-0.8677309007981756,9.999000099990002e-05,0.0004999500049995,3
d_initial_peak_to_trough_magnitude,39,69,0.6653937019340948,0.48123704749753027,0.8205089019019602,0.33927185440443,0.1875614056691024,0.0766264151141129,0.2641642410062801,0.18753782589216722,0.6360226158104353,0.21945339998424263,0.19212427985103175,0.13235958181654617,-0.4514374494017284,-0.5461905482060979,-0.3665423925089666,-0.913786696395392,-0.9777220364176885,-0.8260869565217391,2575.0,3.81318646917279e-15,4.2898347778193884e-14,-1.0,negative,-0.8541666666666666,negative,-0.9188311688311688,negative,3,True,False,-0.9110604332953249,9.999000099990002e-05,0.0004999500049995,4
d_slope_magnitude,39,69,0.4589767408759524,0.3251915551580217,0.6152204955987393,0.2900289404407176,0.7659645164373857,0.7143053731278018,0.8167567756364474,0.1024514025086456,0.4672438790523124,0.20662366942865024,0.7646856836716435,0.09740063270664429,0.29003215937770704,0.21748983197818705,0.35950768842953557,0.8416945373467113,0.705685618729097,0.9435154217762913,213.0,4.470649974309486e-13,4.023584976878538e-12,1.0,positive,0.90625,positive,0.8603896103896104,positive,3,True,False,0.8814139110604333,9.999000099990002e-05,0.0004999500049995,5
d_initial_magnitude,39,69,0.4218772918547684,0.24287630421815354,0.5747156877764483,0.3318393835582948,0.1208485852024002,0.0798698145003308,0.1974522995425931,0.1175824850422623,0.4257974868330002,0.205890384337604,0.1419596182748585,0.09804889838069213,-0.2570788772885953,-0.3561521938245005,-0.1835244378077326,-0.8260869565217391,-0.9160163507989595,-0.7175771088814568,2457.0,1.1930708241196306e-12,8.94803118089723e-12,-1.0,negative,-0.8541666666666666,negative,-0.788961038961039,negative,3,True,False,-0.8198403648802737,9.999000099990002e-05,0.0004999500049995,6
b_band_power_high,39,69,0.2615714320205347,0.1584097572725428,0.33973527044887264,0.18132551317632983,0.0673517938194777,0.0294465450704325,0.113659168296965,0.0842126232265325,0.28726002311820437,0.20120749502874596,0.08848820153132574,0.09002111299455134,-0.16415831531268602,-0.21783994987134342,-0.11768889825489835,-0.7807506503158677,-0.8914901523597176,-0.654384986993683,2396.0,1.8677740224490486e-11,1.2007118715743884e-10,-0.9710144927536232,negative,-0.8020833333333334,negative,-0.5974025974025974,negative,3,True,False,-0.6716077537058153,9.999000099990002e-05,0.0004999500049995,7
b_band_power_mid,39,69,0.0767351288390247,0.0465962331981511,0.1251884128537348,0.07859217965558371,0.0140910297189004,0.004378084967461,0.0443740166066623,0.0399959316392013,0.14150030292463997,0.19546540600945206,0.035938166600058205,0.063715223127701,-0.0557573220674939,-0.0792597627574806,-0.03650420540693149,-0.6893348197696024,-0.8164251207729468,-0.5503344481605354,2273.0,3.0428271354062678e-09,1.7115902636660256e-08,-0.7971014492753623,negative,-0.4895833333333333,negative,-0.5811688311688312,negative,3,True,False,-0.5781071835803877,9.999000099990002e-05,0.0004999500049995,8
d_poly_peak_c2,39,69,0.4698719295978858,0.35131656713903564,0.5426270933409167,0.1913105262018811,0.6503443535443524,0.5553612587837929,0.7169124327722651,0.16155117398847219,0.45150535002343406,0.21301419835814708,0.6315690280372576,0.14990757168610006,0.1804390024710169,0.11461001901972756,0.24648644894699717,0.5607580824972129,0.36007060572277966,0.7398736529171311,591.0,1.4160693756752842e-06,7.08034687837642e-06,0.6521739130434783,positive,0.11458333333333333,positive,0.672077922077922,positive,3,True,False,0.548460661345496,9.999000099990002e-05,0.0004999500049995,9
d_poly_peak_c3,39,69,0.5610874267002343,0.4772826618488098,0.6873972338928482,0.21011457204403844,0.4280669653819492,0.3355785681661559,0.4866393286700998,0.1510607605039439,0.5916575479723816,0.19940208019616945,0.4211097647862905,0.1509246140628548,-0.15787481422875582,-0.22830236711120244,-0.09961652673134974,-0.5540691192865106,-0.7250092902266815,-0.36157562244518765,2091.0,1.887003075235723e-06,8.491513838560755e-06,-0.7391304347826086,negative,-0.08333333333333333,negative,-0.672077922077922,negative,3,True,False,-0.548460661345496,0.00019998000199980003,0.0008999100089991002,10
