Tier,Feature,Feature_Label,Feature_Category,K3_Strict_Signature,Signature_Rank,Signature_N,n,Median,Q1,Q3,IQR
Broader tier,a_mean,Mean of delta,Statistical Summary,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,0.5895311963332569,0.5881371445071826,0.5900822792325024,0.0019451347253198747
Broader tier,a_mean,Mean of delta,Statistical Summary,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,0.5864898871139341,0.5834571029570451,0.5900340547232239,0.006576951766178785
Broader tier,a_mean,Mean of delta,Statistical Summary,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,0.5841612016999421,0.5796964345778675,0.5901370472968678,0.01044061271900032
Broader tier,a_mean,Mean of delta,Statistical Summary,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,0.5902057834023552,0.5891577820308734,0.5934935623481985,0.004335780317325066
Broader tier,a_mean,Mean of delta,Statistical Summary,K3-DW2a-DK0-PK1-NH3-NK2,5,8,8,0.5901507749226232,0.5895526945072153,0.5918632900689057,0.0023105955616904428
Broader tier,a_mean,Mean of delta,Statistical Summary,K3-DW2b-DK0-PK1-NH2-NK3,6,7,7,0.5899997089873976,0.5880763477811272,0.5913515551368371,0.0032752073557099637
Broader tier,a_mean,Mean of delta,Statistical Summary,K3-DW2b-DK2-PK1-NH2-NK3,7,7,7,0.5899931431153936,0.5877157956641621,0.5900992190333024,0.002383423369140325
Broader tier,a_mean,Mean of delta,Statistical Summary,K3-DW2b-DK2-PK3-NH3-NK2,8,5,5,0.5900484149834888,0.5888594114443035,0.5909504176683881,0.002091006224084535
Broader tier,a_std,Standard deviation,Statistical Summary,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,0.02414930452662225,0.0228261286870901,0.02642777177354455,0.0036016430864544494
Broader tier,a_std,Standard deviation,Statistical Summary,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,0.0899327541246909,0.08544941885284554,0.09465362210119921,0.009204203248353665
Broader tier,a_std,Standard deviation,Statistical Summary,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,0.0899153535548663,0.0872281398265492,0.1053178144298138,0.018089674603264605
Broader tier,a_std,Standard deviation,Statistical Summary,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,0.0423100233514024,0.037475508042443,0.0481506723572246,0.010675164314781604
Broader tier,a_std,Standard deviation,Statistical Summary,K3-DW2a-DK0-PK1-NH3-NK2,5,8,8,0.024791844126413103,0.022237870077522676,0.028407305183343952,0.006169435105821276
Broader tier,a_std,Standard deviation,Statistical Summary,K3-DW2b-DK0-PK1-NH2-NK3,6,7,7,0.0467265600136467,0.0460786281250404,0.0499149089505561,0.003836280825515702
Broader tier,a_std,Standard deviation,Statistical Summary,K3-DW2b-DK2-PK1-NH2-NK3,7,7,7,0.0649644119814074,0.06113592854668415,0.0671257677603507,0.0059898392136665535
Broader tier,a_std,Standard deviation,Statistical Summary,K3-DW2b-DK2-PK3-NH3-NK2,8,5,5,0.063442930923085,0.0584448362722438,0.0644111443999297,0.005966308127685907
Broader tier,a_median,Median,Statistical Summary,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,0.5884789003365748,0.5882657291418949,0.5901714153496115,0.0019056862077165837
Broader tier,a_median,Median,Statistical Summary,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,0.5897595343227048,0.5854318377070922,0.5963544512073631,0.010922613500270906
Broader tier,a_median,Median,Statistical Summary,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,0.585100029002082,0.584401867336817,0.5901714153496115,0.005769548012794501
Broader tier,a_median,Median,Statistical Summary,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,0.5885217488179175,0.5875685439254468,0.5895616924227811,0.0019931484973343405
Broader tier,a_median,Median,Statistical Summary,K3-DW2a-DK0-PK1-NH3-NK2,5,8,8,0.588470941559358,0.5867842428994711,0.5889020290898339,0.002117786190362847
Broader tier,a_median,Median,Statistical Summary,K3-DW2b-DK0-PK1-NH2-NK3,6,7,7,0.5901714153496115,0.5876963799460537,0.5918200106692719,0.004123630723218197
