Cell_Name,K3_DW,K3_DK,K3_PH,K3_PK,K3_NH,K3_NK,K3_Strict_Signature,Signature_Rank,Signature_N,Tier
Mov. 1 - Cell 10,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 1 - Cell 10.1,2a,0,3,1,3,2,K3-DW2a-DK0-PK1-NH3-NK2,5,8,Broader tier
Mov. 1 - Cell 11,2a,0,3,1,3,2,K3-DW2a-DK0-PK1-NH3-NK2,5,8,Broader tier
Mov. 1 - Cell 11.1,2b,0,3,1,3,2,K3-DW2b-DK0-PK1-NH3-NK2,4,11,Strong core
Mov. 1 - Cell 12,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 1 - Cell 12.1,2b,0,3,1,3,2,K3-DW2b-DK0-PK1-NH3-NK2,4,11,Strong core
Mov. 1 - Cell 13.1,2b,0,2,1,3,2,K3-DW2b-DK0-PK1-NH3-NK2,4,11,Strong core
Mov. 1 - Cell 14.1,2b,0,2,1,3,2,K3-DW2b-DK0-PK1-NH3-NK2,4,11,Strong core
Mov. 1 - Cell 15,2a,0,3,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 1 - Cell 15.1,2b,0,2,1,3,2,K3-DW2b-DK0-PK1-NH3-NK2,4,11,Strong core
Mov. 1 - Cell 17,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 1 - Cell 20,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 1 - Cell 21,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 1 - Cell 23,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 1 - Cell 24,2a,0,3,1,3,2,K3-DW2a-DK0-PK1-NH3-NK2,5,8,Broader tier
Mov. 1 - Cell 25,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 1 - Cell 26,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 1 - Cell 7,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 1 - Cell 7.1,2a,0,3,1,3,2,K3-DW2a-DK0-PK1-NH3-NK2,5,8,Broader tier
Mov. 1 - Cell 9.1,2a,0,3,1,3,2,K3-DW2a-DK0-PK1-NH3-NK2,5,8,Broader tier
Mov. 1 - M,2b,2,2,1,2,3,K3-DW2b-DK2-PK1-NH2-NK3,7,7,Broader tier
Mov. 1 - N,1,1,1,2,1,1,K3-DW1-DK1-PK2-NH1-NK1,2,14,Strong core
Mov. 1 - O,1,1,1,3,1,1,K3-DW1-DK1-PK3-NH1-NK1,3,13,Strong core
Mov. 2 - 15 (white),2b,2,2,1,2,3,K3-DW2b-DK2-PK1-NH2-NK3,7,7,Broader tier
Mov. 2 - Cell 1,1,1,3,3,1,1,K3-DW1-DK1-PK3-NH1-NK1,3,13,Strong core
Mov. 2 - Cell 13,2b,0,3,1,3,2,K3-DW2b-DK0-PK1-NH3-NK2,4,11,Strong core
Mov. 2 - Cell 2,1,1,1,2,1,1,K3-DW1-DK1-PK2-NH1-NK1,2,14,Strong core
Mov. 2 - Cell 22,1,1,1,2,1,1,K3-DW1-DK1-PK2-NH1-NK1,2,14,Strong core
Mov. 2 - Cell 23,1,1,3,3,1,1,K3-DW1-DK1-PK3-NH1-NK1,3,13,Strong core
Mov. 2 - Cell 3,2b,0,2,1,2,3,K3-DW2b-DK0-PK1-NH2-NK3,6,7,Broader tier
Mov. 2 - Cell 34,1,1,1,2,1,1,K3-DW1-DK1-PK2-NH1-NK1,2,14,Strong core
Mov. 2 - Cell 36,1,1,1,2,1,1,K3-DW1-DK1-PK2-NH1-NK1,2,14,Strong core
Mov. 2 - Cell 4,2b,0,3,1,2,3,K3-DW2b-DK0-PK1-NH2-NK3,6,7,Broader tier
Mov. 2 - Cell 5,2b,0,3,1,3,2,K3-DW2b-DK0-PK1-NH3-NK2,4,11,Strong core
Mov. 2 - Cell C3,2b,2,3,3,3,2,K3-DW2b-DK2-PK3-NH3-NK2,8,5,Broader tier
Mov. 2 - Cell C4,2b,2,3,3,3,2,K3-DW2b-DK2-PK3-NH3-NK2,8,5,Broader tier
Mov. 2 - Cell C5,2b,2,3,3,3,2,K3-DW2b-DK2-PK3-NH3-NK2,8,5,Broader tier
Mov. 2 - P,2a,0,2,1,3,2,K3-DW2a-DK0-PK1-NH3-NK2,5,8,Broader tier
Mov. 2 - R,2a,0,3,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 2 - S,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 2 - T,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 2 - V,2a,0,3,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 2 - W,2a,0,3,1,3,2,K3-DW2a-DK0-PK1-NH3-NK2,5,8,Broader tier
Mov. 2 - X,2a,0,3,1,3,2,K3-DW2a-DK0-PK1-NH3-NK2,5,8,Broader tier
Mov. 2 - Y,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 2 - Z,2a,0,2,1,2,3,K3-DW2a-DK0-PK1-NH2-NK3,1,16,Strong core
Mov. 3 - Cell 10,2b,2,3,3,3,2,K3-DW2b-DK2-PK3-NH3-NK2,8,5,Broader tier
Mov. 3 - Cell 12,2b,2,2,1,2,3,K3-DW2b-DK2-PK1-NH2-NK3,7,7,Broader tier
