Cell_Name,K3_PH,K3_PK
Mov. 1 - Cell 10,2,1
Mov. 1 - Cell 10.1,3,1
Mov. 1 - Cell 11,3,1
Mov. 1 - Cell 11.1,3,1
Mov. 1 - Cell 12,2,1
Mov. 1 - Cell 12.1,3,1
Mov. 1 - Cell 13.1,2,1
Mov. 1 - Cell 14.1,2,1
Mov. 1 - Cell 15,3,1
Mov. 1 - Cell 15.1,2,1
Mov. 1 - Cell 17,2,1
Mov. 1 - Cell 18,1,2
Mov. 1 - Cell 20,2,1
Mov. 1 - Cell 21,2,1
Mov. 1 - Cell 23,2,1
Mov. 1 - Cell 24,3,1
Mov. 1 - Cell 25,2,1
Mov. 1 - Cell 26,2,1
Mov. 1 - Cell 7,2,1
Mov. 1 - Cell 7.1,3,1
Mov. 1 - Cell 9,1,2
Mov. 1 - Cell 9.1,3,1
Mov. 1 - M,2,1
Mov. 1 - N,1,2
Mov. 1 - O,1,3
Mov. 1 - cell 16.1,2,1
Mov. 2 - 15 (purple),2,1
Mov. 2 - 15 (white),2,1
Mov. 2 - Cell 1,3,3
Mov. 2 - Cell 11,3,3
Mov. 2 - Cell 12,2,1
Mov. 2 - Cell 13,3,1
Mov. 2 - Cell 14,2,2
Mov. 2 - Cell 16,3,3
Mov. 2 - Cell 18,3,3
Mov. 2 - Cell 2,1,2
Mov. 2 - Cell 22,1,2
Mov. 2 - Cell 23,3,3
Mov. 2 - Cell 3,2,1
Mov. 2 - Cell 34,1,2
Mov. 2 - Cell 36,1,2
Mov. 2 - Cell 4,3,1
Mov. 2 - Cell 5,3,1
Mov. 2 - Cell C1,3,3
Mov. 2 - Cell C2,3,3
Mov. 2 - Cell C3,3,3
Mov. 2 - Cell C4,3,3
Mov. 2 - Cell C5,3,3
Mov. 2 - P,2,1
Mov. 2 - R,3,1
Mov. 2 - S,2,1
Mov. 2 - T,2,1
Mov. 2 - U,3,1
Mov. 2 - V,3,1
Mov. 2 - W,3,1
Mov. 2 - X,3,1
Mov. 2 - Y,2,1
Mov. 2 - Z,2,1
Mov. 3 - Cell 1,2,1
Mov. 3 - Cell 10,3,3
Mov. 3 - Cell 11,3,1
Mov. 3 - Cell 12,2,1
Mov. 3 - Cell 13,3,1
Mov. 3 - Cell 14,3,3
Mov. 3 - Cell 15,3,3
Mov. 3 - Cell 2,3,1
Mov. 3 - Cell 21,3,2
Mov. 3 - Cell 22,1,2
Mov. 3 - Cell 23,3,2
Mov. 3 - Cell 24,1,2
Mov. 3 - Cell 25,3,3
Mov. 3 - Cell 26,3,3
Mov. 3 - Cell 27,3,3
Mov. 3 - Cell 28,1,2
Mov. 3 - Cell 29,1,2
Mov. 3 - Cell 3,3,1
Mov. 3 - Cell 30,3,1
Mov. 3 - Cell 31,1,3
Mov. 3 - Cell 34,3,1
Mov. 3 - Cell 36,2,1
Mov. 3 - Cell 37,3,1
Mov. 3 - Cell 38,3,2
Mov. 3 - Cell 39,1,2
Mov. 3 - Cell 4,2,1
Mov. 3 - Cell 40,3,3
Mov. 3 - Cell 41,1,2
Mov. 3 - Cell 42,1,2
Mov. 3 - Cell 43,3,3
Mov. 3 - Cell 44,1,3
Mov. 3 - Cell 45,3,1
Mov. 3 - Cell 46,1,3
Mov. 3 - Cell 47,3,3
Mov. 3 - Cell 48,3,3
Mov. 3 - Cell 49,2,1
Mov. 3 - Cell 5,3,3
Mov. 3 - Cell 50,3,1
Mov. 3 - Cell 51,3,1
Mov. 3 - Cell 52,3,1
Mov. 3 - Cell 53,3,3
Mov. 3 - Cell 54,3,3
Mov. 3 - Cell 55,3,3
Mov. 3 - Cell 56,1,2
Mov. 3 - Cell 57,3,3
Mov. 3 - Cell 58,1,1
Mov. 3 - Cell 6,2,1
Mov. 3 - Cell 7,2,1
Mov. 3 - Cell 8,3,2
Mov. 3 - Cell 9,2,1
