Feature,Feature_Label,Feature_Category,Effect_Rank_Strong_Core,Rank_Eta_Squared_Strong_Core,Raw_P_Strong_Core,BH_Adjusted_P_Strong_Core,BH_Significant_Strong_Core,BY_Adjusted_P_Strong_Core,BY_Significant_Sensitivity_Strong_Core,Effect_Rank_Broader_Tier,Rank_Eta_Squared_Broader_Tier,Raw_P_Broader_Tier,BH_Adjusted_P_Broader_Tier,BH_Significant_Broader_Tier,BY_Adjusted_P_Broader_Tier,BY_Significant_Sensitivity_Broader_Tier,Mean_Effect_Rank,Effect_Difference_Broader_Minus_Core,Rank_Change_Broader_Minus_Core,Top_5_Strong_Core,Top_5_Broader_Tier,Top_5_Both,Top_10_Strong_Core,Top_10_Broader_Tier,Top_10_Both,Top_15_Strong_Core,Top_15_Broader_Tier,Top_15_Both
a_std,Standard deviation,Statistical Summary,1,0.8340041067417756,1.0714636296110745e-09,1.840703778611269e-08,True,8.089797603095792e-08,True,1,0.9161535555633634,2.421360880829907e-13,1.0896123963734582e-11,True,4.7887899481228895e-11,True,1.0,0.08214944882158781,0,True,True,True,True,True,True,True,True,True
g_sharpness_index,Sharpness index,Oscillation Shape,2,0.8216847011166496,1.4482647046483396e-09,1.840703778611269e-08,True,8.089797603095792e-08,True,2,0.8800314621362278,8.285099196907697e-13,1.8270590345348413e-11,True,8.029829660829918e-11,True,2.0,0.05834676101957825,0,True,True,True,True,True,True,True,True,True
d_initial_peak_to_trough_magnitude,Initial fall amplitude,Magnitude Change,3,0.8151460482987319,1.6993901572808645e-09,1.840703778611269e-08,True,8.089797603095792e-08,True,4,0.7817418538235108,2.3150468967649995e-11,2.439381863264776e-10,True,1.0720956723065598e-09,True,3.5,-0.03340419447522114,1,True,True,True,True,True,True,True,True,True
f_early_std,Early standard deviation,Early vs. Late Behavior,5,0.8075700776314482,2.0452264206791874e-09,1.840703778611269e-08,True,8.089797603095792e-08,True,3,0.8686960666555726,1.2180393563565609e-12,1.8270590345348413e-11,True,8.029829660829918e-11,True,4.0,0.06112598902412447,-2,True,True,True,True,True,True,True,True,True
d_initial_magnitude,Initial oscillation strength,Magnitude Change,4,0.8108074334943096,1.88958378930378e-09,1.840703778611269e-08,True,8.089797603095792e-08,True,6,0.7360984302725954,1.0764262290086397e-10,8.073196717564797e-10,True,3.5481280700336523e-09,True,5.0,-0.07470900322171425,2,True,False,False,True,True,True,True,True,True
b_band_power_high,High-frequency band power,Oscillation,6,0.7890837172281105,3.2135241533171042e-09,2.410143114987828e-08,True,1.0592453941424748e-07,True,5,0.7770678313280744,2.7104242925164177e-11,2.439381863264776e-10,True,1.0720956723065598e-09,True,5.5,-0.012015885900036105,-1,False,True,False,True,True,True,True,True,True
d_slope_magnitude,Slope of oscillation magnitude,Magnitude Change,7,0.711423146971958,2.1394500289254453e-08,1.3753607328806433e-07,True,6.044639061177069e-07,True,7,0.6119294480439674,6.7788425085130865e-09,4.35782732690127e-08,True,1.915242499826279e-07,True,7.0,-0.09949369892799054,0,False,False,False,True,True,True,True,True,True
b_band_power_mid,Mid-frequency band power,Oscillation,8,0.6956183487359637,3.145026447188669e-08,1.7690773765436263e-07,True,7.775003282304887e-07,True,8,0.576563059051864,2.1795568125855153e-08,1.2260007070793522e-07,True,5.388209497242987e-07,True,8.0,-0.11905528968409973,0,False,False,False,True,True,True,True,True,True
f_late_std,Late standard deviation,Early vs. Late Behavior,9,0.6330486321066298,1.4426385919750603e-07,7.213192959875301e-07,True,3.1701608806112013e-06,True,9,0.5360220108893964,8.248701229653139e-08,4.067507459692206e-07,True,1.7876484244965205e-06,True,9.0,-0.09702662121723338,0,False,False,False,True,True,True,True,True,True
d_final_peak_to_trough_magnitude,Final fall amplitude,Magnitude Change,10,0.5749665990219278,5.913205567215482e-07,2.660942505246967e-06,True,1.169470424902557e-05,True,10,0.53306487470802,9.086435906824517e-08,4.067507459692206e-07,True,1.7876484244965205e-06,True,10.0,-0.04190172431390782,0,False,False,False,True,True,True,True,True,True
d_final_magnitude,Final oscillation strength,Magnitude Change,11,0.5284191398507337,1.8266782383738018e-06,7.47277461152919e-06,True,3.2842456696879975e-05,True,11,0.5303100079386309,9.942796012580947e-08,4.067507459692206e-07,True,1.7876484244965205e-06,True,11.0,0.0018908680878971795,0,False,False,False,False,False,False,True,True,True
d_poly_peak_c1,Peak magnitude poly fit (c1),Magnitude Change,12,0.4729617219899871,6.977186803526635e-06,2.4582251726236728e-05,True,0.00010803772090023231,True,12,0.47333795401494855,6.337019411817481e-07,2.3763822794315552e-06,True,1.0444076820817269e-05,True,12.0,0.0003762320249614537,0,False,False,False,False,False,False,True,True,True
d_poly_peak_c2,Peak magnitude poly fit (c2),Magnitude Change,15,0.4442448330810763,1.3940492836679651e-05,4.182147851003896e-05,True,0.0001838032281672658,True,13,0.45883996926046533,1.0117714550910729e-06,3.5022858060844834e-06,True,1.539236440357314e-05,True,14.0,0.014595136179389012,-2,False,False,False,False,False,False,True,True,True
d_poly_mag_c0,Magnitude poly fit (c0),Magnitude Change,13,0.47222945661870336,7.101539387579498e-06,2.4582251726236728e-05,True,0.00010803772090023231,True,16,0.40601693412999335,5.489385436855143e-06,1.5438896541155087e-05,True,6.785314925974138e-05,True,14.5,-0.06621252248871001,3,False,False,False,False,False,False,True,False,False
d_poly_peak_c0,Peak magnitude poly fit (c0),Magnitude Change,14,0.4682050194221421,7.825484619626186e-06,2.5153343420227027e-05,True,0.00011054763926454201,True,15,0.4304531980849306,2.5175407650353873e-06,7.5526222951061624e-06,True,3.319338312334773e-05,True,14.5,-0.0377518213372115,1,False,False,False,False,False,False,True,True,True
d_poly_peak_c3,Peak magnitude poly fit (c3),Magnitude Change,16,0.41191837056745206,3.0333785070726546e-05,8.531377051141841e-05,True,0.0003749495949397363,True,14,0.43621210809697636,2.093531350429577e-06,6.729207912095069e-06,True,2.9574519632415268e-05,True,15.0,0.024293737529524295,-2,False,False,False,False,False,False,False,True,False
c_avg_time_between_peaks,Average time between peaks,Peak & Trough Timing,17,0.38101104290019683,6.36701580157215e-05,0.0001685386535710275,True,0.0007407186379095443,True,17,0.38958205205928775,9.245783432281583e-06,2.4474132614863013e-05,True,0.00010756254301544535,True,17.0,0.008571009159090925,0,False,False,False,False,False,False,False,False,False
d_poly_mag_c1,Magnitude poly fit (c1),Magnitude Change,18,0.32360174675138104,0.00025093021951203096,0.0005998825701536467,True,0.002636452771248853,True,21,0.3085037044558189,0.00011623035950189832,0.0002465286986729262,True,0.0010834808396618966,True,19.5,-0.015098042295562164,3,False,False,False,False,False,False,False,False,False
