Rank,K3_Strict_Signature,K3_DW,K3_DK,K3_PK,K3_NH,K3_NK,Num_Cells,Proportion,Cumulative_Cells,Cumulative_Proportion,Tier
1,K3-DW2a-DK0-PK1-NH2-NK3,2a,0,1,2,3,16,0.14814814814814814,16,0.14814814814814814,Strong core
2,K3-DW1-DK1-PK2-NH1-NK1,1,1,2,1,1,14,0.12962962962962962,30,0.2777777777777778,Strong core
3,K3-DW1-DK1-PK3-NH1-NK1,1,1,3,1,1,13,0.12037037037037036,43,0.39814814814814814,Strong core
4,K3-DW2b-DK0-PK1-NH3-NK2,2b,0,1,3,2,11,0.10185185185185185,54,0.5,Strong core
5,K3-DW2a-DK0-PK1-NH3-NK2,2a,0,1,3,2,8,0.07407407407407407,62,0.5740740740740741,Broader tier
6,K3-DW2b-DK0-PK1-NH2-NK3,2b,0,1,2,3,7,0.06481481481481481,69,0.6388888888888888,Broader tier
7,K3-DW2b-DK2-PK1-NH2-NK3,2b,2,1,2,3,7,0.06481481481481481,76,0.7037037037037037,Broader tier
8,K3-DW2b-DK2-PK3-NH3-NK2,2b,2,3,3,2,5,0.046296296296296294,81,0.75,Broader tier
9,K3-DW1-DK1-PK3-NH3-NK2,1,1,3,3,2,2,0.018518518518518517,83,0.7685185185185185,Lower frequency
10,K3-DW2b-DK2-PK1-NH1-NK2,2b,2,1,1,2,2,0.018518518518518517,85,0.7870370370370371,Lower frequency
11,K3-DW2b-DK2-PK1-NH3-NK2,2b,2,1,3,2,2,0.018518518518518517,87,0.8055555555555556,Lower frequency
12,K3-DW2b-DK2-PK3-NH1-NK1,2b,2,3,1,1,2,0.018518518518518517,89,0.8240740740740741,Lower frequency
13,K3-DW1-DK1-PK2-NH3-NK1,1,1,2,3,1,1,0.009259259259259259,90,0.8333333333333334,Lower frequency
14,K3-DW1-DK1-PK3-NH1-NK2,1,1,3,1,2,1,0.009259259259259259,91,0.8425925925925926,Lower frequency
15,K3-DW1-DK2-PK1-NH3-NK2,1,2,1,3,2,1,0.009259259259259259,92,0.8518518518518519,Lower frequency
16,K3-DW1-DK2-PK2-NH1-NK1,1,2,2,1,1,1,0.009259259259259259,93,0.8611111111111112,Lower frequency
17,K3-DW1-DK2-PK3-NH1-NK1,1,2,3,1,1,1,0.009259259259259259,94,0.8703703703703703,Lower frequency
18,K3-DW2a-DK0-PK1-NH3-NK3,2a,0,1,3,3,1,0.009259259259259259,95,0.8796296296296297,Lower frequency
19,K3-DW2b-DK0-PK1-NH2-NK2,2b,0,1,2,2,1,0.009259259259259259,96,0.8888888888888888,Lower frequency
20,K3-DW2b-DK0-PK1-NH3-NK3,2b,0,1,3,3,1,0.009259259259259259,97,0.8981481481481481,Lower frequency
21,K3-DW2b-DK0-PK2-NH2-NK3,2b,0,2,2,3,1,0.009259259259259259,98,0.9074074074074074,Lower frequency
22,K3-DW2b-DK0-PK3-NH1-NK2,2b,0,3,1,2,1,0.009259259259259259,99,0.9166666666666666,Lower frequency
23,K3-DW2b-DK0-PK3-NH3-NK2,2b,0,3,3,2,1,0.009259259259259259,100,0.9259259259259259,Lower frequency
24,K3-DW2b-DK0-PK3-NH3-NK3,2b,0,3,3,3,1,0.009259259259259259,101,0.9351851851851852,Lower frequency
25,K3-DW2b-DK2-PK1-NH2-NK2,2b,2,1,2,2,1,0.009259259259259259,102,0.9444444444444444,Lower frequency
26,K3-DW2b-DK2-PK1-NH3-NK3,2b,2,1,3,3,1,0.009259259259259259,103,0.9537037037037037,Lower frequency
27,K3-DW2b-DK2-PK2-NH1-NK1,2b,2,2,1,1,1,0.009259259259259259,104,0.9629629629629629,Lower frequency
28,K3-DW2b-DK2-PK2-NH1-NK3,2b,2,2,1,3,1,0.009259259259259259,105,0.9722222222222222,Lower frequency
29,K3-DW2b-DK2-PK2-NH2-NK3,2b,2,2,2,3,1,0.009259259259259259,106,0.9814814814814815,Lower frequency
30,K3-DW2b-DK2-PK3-NH1-NK2,2b,2,3,1,2,1,0.009259259259259259,107,0.9907407407407407,Lower frequency
31,K3-DW2b-DK2-PK3-NH1-NK3,2b,2,3,1,3,1,0.009259259259259259,108,1.0,Lower frequency
