Rank,K3_Strict_Signature,Num_Cells,Proportion,Cumulative_Cells,Cumulative_Proportion,S_Group
1,K3-DW1-PH1-PK2-NH1-NK1,14,0.12962962962962962,14,0.12962962962962962,S1
2,K3-DW2a-PH2-PK1-NH2-NK3,13,0.12037037037037036,27,0.25,S2
3,K3-DW1-PH3-PK3-NH1-NK1,10,0.09259259259259259,37,0.3425925925925926,S3
4,K3-DW2b-PH2-PK1-NH2-NK3,10,0.09259259259259259,47,0.4351851851851852,S4
5,K3-DW2b-PH3-PK1-NH3-NK2,10,0.09259259259259259,57,0.5277777777777778,S5
6,K3-DW2a-PH3-PK1-NH3-NK2,7,0.06481481481481481,64,0.5925925925925926,
7,K3-DW2b-PH3-PK3-NH3-NK2,6,0.05555555555555555,70,0.6481481481481481,
8,K3-DW1-PH1-PK3-NH1-NK1,4,0.037037037037037035,74,0.6851851851851852,
9,K3-DW2b-PH3-PK1-NH2-NK3,4,0.037037037037037035,78,0.7222222222222222,
10,K3-DW2a-PH3-PK1-NH2-NK3,3,0.027777777777777776,81,0.75,
11,K3-DW2b-PH2-PK1-NH3-NK2,3,0.027777777777777776,84,0.7777777777777778,
12,K3-DW1-PH3-PK3-NH3-NK2,2,0.018518518518518517,86,0.7962962962962963,
13,K3-DW2b-PH2-PK1-NH2-NK2,2,0.018518518518518517,88,0.8148148148148148,
14,K3-DW2b-PH2-PK1-NH3-NK3,2,0.018518518518518517,90,0.8333333333333334,
15,K3-DW2b-PH3-PK3-NH1-NK1,2,0.018518518518518517,92,0.8518518518518519,
16,K3-DW2b-PH3-PK3-NH1-NK2,2,0.018518518518518517,94,0.8703703703703703,
17,K3-DW1-PH3-PK1-NH3-NK2,1,0.009259259259259259,95,0.8796296296296297,
18,K3-DW1-PH3-PK2-NH1-NK1,1,0.009259259259259259,96,0.8888888888888888,
19,K3-DW1-PH3-PK2-NH3-NK1,1,0.009259259259259259,97,0.8981481481481481,
20,K3-DW1-PH3-PK3-NH1-NK2,1,0.009259259259259259,98,0.9074074074074074,
21,K3-DW2a-PH2-PK1-NH3-NK2,1,0.009259259259259259,99,0.9166666666666666,
22,K3-DW2a-PH3-PK1-NH3-NK3,1,0.009259259259259259,100,0.9259259259259259,
23,K3-DW2b-PH1-PK1-NH1-NK2,1,0.009259259259259259,101,0.9351851851851852,
24,K3-DW2b-PH1-PK2-NH1-NK3,1,0.009259259259259259,102,0.9444444444444444,
25,K3-DW2b-PH2-PK2-NH2-NK3,1,0.009259259259259259,103,0.9537037037037037,
26,K3-DW2b-PH3-PK1-NH1-NK2,1,0.009259259259259259,104,0.9629629629629629,
27,K3-DW2b-PH3-PK2-NH1-NK1,1,0.009259259259259259,105,0.9722222222222222,
28,K3-DW2b-PH3-PK2-NH2-NK3,1,0.009259259259259259,106,0.9814814814814815,
29,K3-DW2b-PH3-PK3-NH1-NK3,1,0.009259259259259259,107,0.9907407407407407,
30,K3-DW2b-PH3-PK3-NH3-NK3,1,0.009259259259259259,108,1.0,
