Tier,Feature,Feature_Label,Feature_Category,K3_Strict_Signature,Signature_Rank,Signature_N,n,Median,Q1,Q3,IQR
Strong core,a_mean,Mean of delta,Statistical Summary,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,0.5895311963332569,0.5881371445071826,0.5900822792325024,0.0019451347253198747
Strong core,a_mean,Mean of delta,Statistical Summary,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,0.5864898871139341,0.5834571029570451,0.5900340547232239,0.006576951766178785
Strong core,a_mean,Mean of delta,Statistical Summary,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,0.5841612016999421,0.5796964345778675,0.5901370472968678,0.01044061271900032
Strong core,a_mean,Mean of delta,Statistical Summary,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,0.5902057834023552,0.5891577820308734,0.5934935623481985,0.004335780317325066
Strong core,a_std,Standard deviation,Statistical Summary,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,0.02414930452662225,0.0228261286870901,0.02642777177354455,0.0036016430864544494
Strong core,a_std,Standard deviation,Statistical Summary,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,0.0899327541246909,0.08544941885284554,0.09465362210119921,0.009204203248353665
Strong core,a_std,Standard deviation,Statistical Summary,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,0.0899153535548663,0.0872281398265492,0.1053178144298138,0.018089674603264605
Strong core,a_std,Standard deviation,Statistical Summary,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,0.0423100233514024,0.037475508042443,0.0481506723572246,0.010675164314781604
Strong core,a_median,Median,Statistical Summary,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,0.5884789003365748,0.5882657291418949,0.5901714153496115,0.0019056862077165837
Strong core,a_median,Median,Statistical Summary,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,0.5897595343227048,0.5854318377070922,0.5963544512073631,0.010922613500270906
Strong core,a_median,Median,Statistical Summary,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,0.585100029002082,0.584401867336817,0.5901714153496115,0.005769548012794501
Strong core,a_median,Median,Statistical Summary,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,0.5885217488179175,0.5875685439254468,0.5895616924227811,0.0019931484973343405
Strong core,a_skew,Skewness,Statistical Summary,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,0.1002489410203871,-0.18266789864933927,0.5446347704127753,0.7273026690621146
Strong core,a_skew,Skewness,Statistical Summary,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,0.0726571637324676,-0.07306608675983331,0.21019987316606425,0.28326595992589754
Strong core,a_skew,Skewness,Statistical Summary,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,-0.5830995138767077,-0.7558269730931488,-0.1189460874767762,0.6368808856163727
Strong core,a_skew,Skewness,Statistical Summary,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,0.2466237334462767,0.13406200872872254,0.6184070672424218,0.48434505851369924
Strong core,a_kurtosis,Kurtosis,Statistical Summary,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,0.1558613367910142,-0.0440163982832547,0.859264258222294,0.9032806565055487
Strong core,a_kurtosis,Kurtosis,Statistical Summary,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,0.42461583288216564,-0.12051850222182448,1.2541211525836244,1.374639654805449
Strong core,a_kurtosis,Kurtosis,Statistical Summary,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,1.249350580213319,0.7990485081026462,2.477849351910318,1.678800843807672
Strong core,a_kurtosis,Kurtosis,Statistical Summary,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,-0.1447838763009281,-0.4033846632667082,1.1277044384443715,1.5310891017110797
Strong core,b_dominant_freq,Dominant frequency,Oscillation,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,1.21405648267009,1.0263157894736843,1.4210526315789476,0.3947368421052633
Strong core,b_dominant_freq,Dominant frequency,Oscillation,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,1.25,1.125,1.3902439024390243,0.2652439024390243
Strong core,b_dominant_freq,Dominant frequency,Oscillation,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,1.25,0.951219512195122,1.375,0.423780487804878
Strong core,b_dominant_freq,Dominant frequency,Oscillation,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,1.0263157894736843,0.84375,1.1532012195121952,0.30945121951219523
Strong core,b_band_power_low,Low-frequency band power,Oscillation,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,7.1035358015489785e-34,2.964639975035569e-34,3.952157625490483e-33,3.655693627986926e-33
Strong core,b_band_power_low,Low-frequency band power,Oscillation,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,7.278679170564614e-34,2.551188450637953e-34,1.4032578467960993e-33,1.148139001732304e-33
Strong core,b_band_power_low,Low-frequency band power,Oscillation,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,2.248255719802044e-33,4.828199374470778e-34,3.389453389336824e-33,2.9066334518897463e-33
Strong core,b_band_power_low,Low-frequency band power,Oscillation,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,1.7946892888971366e-33,8.12103423764393e-35,8.801839580721743e-33,8.720629238345304e-33
Strong core,b_band_power_mid,Mid-frequency band power,Oscillation,K3-DW2a-DK0-PK1-NH2-NK3,1,16,16,4.237939630272422e-06,2.4353818411658564e-06,5.2601884018077465e-06,2.82480656064189e-06
Strong core,b_band_power_mid,Mid-frequency band power,Oscillation,K3-DW1-DK1-PK2-NH1-NK1,2,14,14,7.058239139814363e-05,3.215109212403949e-05,9.742736773511059e-05,6.52762756110711e-05
Strong core,b_band_power_mid,Mid-frequency band power,Oscillation,K3-DW1-DK1-PK3-NH1-NK1,3,13,13,9.833813518572404e-05,5.804580612407856e-05,0.0002983955937841,0.0002403497876600214
Strong core,b_band_power_mid,Mid-frequency band power,Oscillation,K3-DW2b-DK0-PK1-NH3-NK2,4,11,11,1.5633074365649517e-05,1.041245091444059e-05,2.7373868210200426e-05,1.6961417295759836e-05
